from,to,value
2-Hydroxyhexanoate,Dorea,0.39944677994505895
11-Dehydrocorticosterone,Dorea,0.403035160827613
Deoxycholic acid,Romboutsia,0.40448173081913463
N-Acetyl-beta-alanine,Blautia,0.4045052679689398
NEG_T126,Desulfovibrio,0.404729680399011
LysoPE(0:0/16:0),Holdemanella,0.4050825239884701
Androsterone sulfate,Dorea,0.40561286430465604
o-Cresol,Methanobrevibacter,0.4105476124265558
NEG_T085,Holdemanella,0.41077839703147945
Suberate (octanedioate),Roseburia,0.41150758544318516
NEG_T107,Dorea,0.41324089421145743
NEG_T126,Methanobrevibacter,0.41424493479091246
Aspartyl-Leucine,Roseburia,0.41544657815538694
Dehydroepiandrosterone sulfate,Blautia,0.41649532986782983
Aspartyl-Leucine,Blautia,0.41857517610339656
Suberate (octanedioate),Blautia,0.41887341435529196
Benzoic acid,Acidaminococcus,0.4239145884838382
Androsterone sulfate,Blautia,0.4416724874702528
NEG_T076,Dorea,0.45704534549232556
Cholic acid,Romboutsia,0.48022261466563354
