from,to,value
NEG_T126,Desulfovibrio,0.404729680399011
LysoPE(0:0/16:0),Holdemanella,0.4050825239884701
gamma-Glutamylleucine,AMN,0.405546386034695
gamma-Glutamylleucine,AMN,0.405546386034695
Androsterone sulfate,Dorea,0.40561286430465604
Uridine,CGA,0.4063324793981383
Uridine,CGA,0.4063324793981383
Hypoxanthine,LEP,0.4076427207762221
Hypoxanthine,LEP,0.4076427207762221
Palmitoleic acid,CNTN5,0.40819638361434174
Palmitoleic acid,CNTN5,0.40819638361434174
L-Glutamic acid,LDL receptor,0.4099184452707303
L-Lysine,CGA,0.4103024151434327
L-Lysine,CGA,0.4103024151434327
o-Cresol,Methanobrevibacter,0.4105476124265558
NEG_T085,Holdemanella,0.41077839703147945
9-HODE,CLUL1,0.4112215797989664
9-HODE,CLUL1,0.4112215797989664
Suberate (octanedioate),Roseburia,0.41150758544318516
Dehydroepiandrosterone,OMD,0.4124384075843047
NEG_T107,Dorea,0.41324089421145743
NEG_T126,Methanobrevibacter,0.41424493479091246
Hypoxanthine,CGA,0.4147089962114062
Hypoxanthine,CGA,0.4147089962114062
Leucyl-Aspartate,AMN,0.41472427646146337
Isoleucyl-Aspartate,AMN,0.41472427646146337
gamma-Glutamylmethionine,AMN,0.41472427646146337
gamma-Glutamylvaline,AMN,0.41472427646146337
Aspartyl-Leucine,Roseburia,0.41544657815538694
Aspartyl-Leucine,Roseburia,0.41544657815538694
Pyroglutamylvaline,CD38,0.4158760689137804
L-Isoleucine,PROK1,0.41622273814096883
L-Isoleucine,PROK1,0.41622273814096883
Dehydroepiandrosterone sulfate,Blautia,0.41649532986782983
Aspartyl-Leucine,Blautia,0.41857517610339656
Aspartyl-Leucine,Blautia,0.41857517610339656
Suberate (octanedioate),Blautia,0.41887341435529196
L-Leucine,CD38,0.41949811637208984
L-Leucine,CD38,0.41949811637208984
Phenylalanyl-Tryptophan,PROK1,0.41981418084264804
Phenylalanyl-Tryptophan,PROK1,0.41981418084264804
Isoleucyl-Isoleucine,CD38,0.42127564355869995
Benzoic acid,Acidaminococcus,0.4239145884838382
Benzoic acid,Acidaminococcus,0.4239145884838382
NEG_T076,CD38,0.4302222572868857
Isoleucyl-Isoleucine,PROK1,0.4312444972983664
Acetylglycine,IGFBP-2,0.43825277953289843
L-Glutamine,SERPINA7,0.441360116520424
L-Glutamine,SERPINA7,0.441360116520424
Androsterone sulfate,Blautia,0.4416724874702528
Palmitoleic acid,CGA,0.44233412429956037
Palmitoleic acid,CGA,0.44233412429956037
NEG_T081,PROK1,0.4460744589286599
Dehydroepiandrosterone,COL1A1,0.4480803590557309
Uric acid,CD38,0.45131677119174923
Arachidonate,CGA,0.4550505691564678
NEG_T076,Dorea,0.45704534549232556
NEG_T082,PROK1,0.4592608789836086
2-Hydroxyhexanoate,PROK1,0.46026509546860606
9-HODE,CGA,0.4613222446732221
9-HODE,CGA,0.4613222446732221
Aspartyl-Leucine,PROK1,0.4633528996283681
Aspartyl-Leucine,PROK1,0.4633528996283681
Suberate (octanedioate),PROK1,0.4645026645913809
Dehydroepiandrosterone sulfate,PROK1,0.46524570997564085
NEG_T075,PROK1,0.4658166816919669
L-Leucine,PROK1,0.4678995892336566
L-Leucine,PROK1,0.4678995892336566
Androsterone sulfate,PROK1,0.47771833036854755
Cholic acid,Romboutsia,0.48022261466563354
gamma-Glutamylleucine,PROK1,0.48541437617687094
gamma-Glutamylleucine,PROK1,0.48541437617687094
NEG_T083,PROK1,0.5489561487600982
NEG_T076,PROK1,0.6333180303339455
