,NW,W
msp_0001,-0.03236657281926626,0.018880500811238637
msp_0002,0.1494873042414749,-0.08720092747419377
msp_0003,-0.5381332437067824,0.3139110588289564
msp_0004,0.1262625757807578,-0.07365316920544203
msp_0005,0.23212757256617392,-0.13540775066360136
msp_0006,-0.6609445123062628,0.3855509655119865
msp_0007,-0.6431108899605749,0.37514801914366885
msp_0008,-0.7333714876625266,0.42780003446980674
msp_0009,-0.7310769270140808,0.4264615407582138
msp_0010,-0.40846902580570343,0.23827359838666037
msp_0011,-0.533866917720513,0.3114223686702993
msp_0012,-0.9434527942556166,0.5503474633157762
msp_0013,-0.986730987324967,0.5755930759395639
msp_0014,-0.8369933051247598,0.4882460946561098
msp_0015,-0.6466776917460443,0.37722865351852636
msp_0016,-0.4839810301314134,0.28232226757665785
msp_0017,-1.101795350793187,0.6427139546293593
msp_0018,-0.6644422241225579,0.3875912974048255
msp_0019,-0.396422707554037,0.2312465794065216
msp_0020,-0.7437820083808658,0.43387283822217143
msp_0021,-0.5223014173812117,0.3046758268057069
msp_0022,-0.7664999480877915,0.4471249697178783
msp_0023,-0.7562432560966209,0.44114189938969545
msp_0024,-0.491824566830917,0.28689766398470157
msp_0025,-0.7442040750660749,0.434119043788544
msp_0026,-0.7017129382983026,0.40933254734067664
msp_0027,-0.8050701340764206,0.469624244877912
msp_0028,-0.6928838591546773,0.404182251173562
msp_0029,-0.5964641409758574,0.34793741556925073
msp_0030,0.17683814070911044,-0.10315558208031439
msp_0031,-0.695215086550126,0.40554213382090704
msp_0032,-0.8573434658520053,0.5001170217470032
msp_0033,0.21747363147786627,-0.12685961836208862
msp_0034,-0.5034572371239779,0.2936833883223205
msp_0035,-0.7803732268347422,0.4552177156536
msp_0036,-0.8631605663516554,0.5035103303717987
msp_0037,-0.8121303892998746,0.4737427270915935
msp_0038,0.7487407498674042,-0.4367654374226524
msp_0039,0.18719674821285423,-0.10919810312416485
msp_0040,-0.8233669543135297,0.48029739001622546
msp_0041,0.861799208703802,-0.5027162050772173
msp_0042,-0.35580002306909364,0.20755001345697136
msp_0043,-0.6308700204022085,0.36800751190128844
msp_0044,-0.3447394273790097,0.20109799930442226
msp_0045,-0.7417602127805656,0.4326934574553296
msp_0046,-1.102321894198577,0.6430211049491703
msp_0047,-0.31383435583691505,0.18307004090486692
msp_0048,-0.6817420926882994,0.39768288740150787
msp_0049,-0.48861137768381113,0.2850233036488897
msp_0050,-0.5742470975395617,0.3349774735647441
msp_0051,-0.28897713105168105,0.16856999311348064
msp_0052,-0.7925248853886772,0.46230618314339483
msp_0053,-0.8588934515912524,0.5010211800948972
msp_0054,-0.6170036385158896,0.35991878913426906
msp_0055,0.6562766000673385,-0.3828280167059476
msp_0056,-0.7210829937927862,0.4206317463791251
msp_0057,0.01958769873778318,-0.011426157597040102
msp_0058,-0.6882562439402425,0.4014828089651416
msp_0059,-0.8941198127997866,0.5215698907998755
msp_0060,0.7309224737201534,-0.4263714430034229
msp_0061,0.03352870158204245,-0.019558409256191622
msp_0062,-0.5888867591101865,0.34351727614760935
msp_0063,-0.8580146421356126,0.5005085412457743
msp_0064,0.9493036450938216,-0.5537604596380625
msp_0065,-0.5953438629729811,0.3472839200675724
msp_0066,-0.6608640863868421,0.38550405039232466
msp_0067,-0.6799811775834362,0.3966556869236712
msp_0068,0.22388514090480666,-0.1305996655278039
msp_0069,-0.9801227002148469,0.5717382417919942
msp_0070,-0.6289951213813569,0.36691382080579166
msp_0071,-0.546718178436783,0.31891893742145694
msp_0072,-0.008925416500026222,0.00520649295834875
msp_0073,0.10164807673368927,-0.05929471142798539
msp_0074,-0.012061996204510539,0.007036164452631023
msp_0075,-0.1568012889746751,0.09146741856856035
msp_0076,-0.5418296670544901,0.3160673057817858
msp_0077,-0.048089144883461325,0.028052001182019493
msp_0078,0.8385292223419901,-0.4891420463661609
msp_0079,-0.855328792212409,0.4989417954572382
msp_0080,0.9955448557980455,-0.5807344992155262
msp_0081,0.6335263661444367,-0.3695570469175878
msp_0082c,0.2627098323084507,-0.1532474021799297
msp_0083,-0.5682788159740374,0.3314959759848551
msp_0084,1.111762469832506,-0.648528107402295
msp_0085,-0.5378259116230951,0.3137317817801386
msp_0086,-0.565314312043858,0.32976668202558385
msp_0087,-0.17887458932611852,0.10434351044023608
msp_0088,-0.4237520281138018,0.2471886830663844
msp_0089,-0.5966764911187129,0.34806128648591567
msp_0090,-0.7416965994104558,0.43265634965609917
msp_0091,1.1907949380563891,-0.6946303805328938
msp_0092,-0.5523931428824486,0.3222293333480949
msp_0093,-0.8343846616355969,0.4867243859540984
msp_0094,0.5643721562899112,-0.329217091169115
msp_0095,-0.5354596721255339,0.31235147540656133
msp_0096,-0.5801681635034291,0.33843142871033377
msp_0097,-0.5818992932715367,0.3394412544083962
msp_0098,-0.38077667150756717,0.2221197250460806
msp_0099,-0.43335439502173634,0.25279006376267954
msp_0100,-0.21691619465574677,0.12653444688251886
msp_0101,-0.551177255005114,0.32152006541964984
msp_0102,-0.23014833069019572,0.1342531929026141
msp_0103,-0.47121678980578047,0.2748764607200387
msp_0104,-0.7470084742436242,0.4357549433087806
msp_0105,0.2570234222011963,-0.1499303296173649
msp_0106,-0.2871577258888037,0.16750867343513556
msp_0107,-0.7226896494459389,0.42156896217679757
msp_0108,0.3357125049112713,-0.19583229453157472
msp_0109,-0.8699825239168952,0.5074898056181888
msp_0110,-0.6159948678995022,0.3593303396080431
msp_0111,-0.5697776833360175,0.3323703152793434
msp_0112,-0.7965314372921986,0.46464333842044914
msp_0113,-0.9555738882719386,0.5574181014919641
msp_0114,-0.6569872808121767,0.3832425804737698
msp_0115c,-0.41369218836234,0.24132044321136484
msp_0116,-0.6503598138531527,0.37937655808100534
msp_0117,0.30270637797312944,-0.17657872048432577
msp_0118,-0.5195270540389995,0.30305744818941627
msp_0119,-0.42938572208918463,0.2504750045520245
msp_0120,-0.3348564472809063,0.1953329275805286
msp_0121,-0.12743268353109619,0.07433573205980602
msp_0122,-0.03421631115741253,0.019959514841824014
msp_0123,0.8123007695059247,-0.47384211554512273
msp_0124,-0.5279488630799137,0.30797017012995004
msp_0125,-0.688143699522548,0.4014171580548201
msp_0126,-1.092675500336597,0.6373940418630153
msp_0127,0.3719133534222313,-0.2169494561629681
msp_0128,-0.6648601897588667,0.38783511069267224
msp_0129,-1.0093216728858636,0.5887709758500871
msp_0130,-0.5861702620912549,0.3419326528865652
msp_0131,-0.7093459422833078,0.413785132998596
msp_0132,-0.6018291965069716,0.3510670312957333
msp_0133,0.1469304010729354,-0.08570940062587908
msp_0134,-0.32109952734743263,0.18730805761933578
msp_0135,-0.48100866862890673,0.28058839003352903
msp_0136,0.7744855649728688,-0.4517832462341735
msp_0137,-0.6264729189557794,0.3654425360575382
msp_0138,-0.20554724713616565,0.11990256082942992
msp_0139,-0.8884138393025421,0.5182414062598163
msp_0140,-0.48598582377965915,0.2834917305381345
msp_0141,-0.6377350940992171,0.37201213822454354
msp_0142,-0.5439899157520627,0.3173274508553697
msp_0143,-0.711908046122242,0.4152796935713077
msp_0144,0.1959581859012863,-0.11430894177575042
msp_0145,-0.7156474385278084,0.41746100580788853
msp_0146c,-0.30739455402177324,0.17931348984603443
msp_0147,-0.6184169255269197,0.36074320655736963
msp_0148c,-0.5451422962883884,0.31799967283489333
msp_0149,-0.24765718925255126,0.14446669373065502
msp_0150c,-0.7821921495485574,0.456278753903325
msp_0151,-0.7859890280437484,0.45849359969218645
msp_0152,0.24416530554378532,-0.1424297615672083
msp_0153,-0.47806322027752624,0.278870211828557
msp_0154,-0.7446236251837656,0.4343637813571967
msp_0155,-0.23933783910623316,0.13961373947863623
msp_0156,-0.30519056915455234,0.17802783200682235
msp_0157,-0.2676067551221518,0.1561039404879219
msp_0158,-0.08215958236806034,0.04792642304803559
msp_0159,0.7142948480127258,-0.4166719946740905
msp_0160,-0.12510908785536717,0.07298030124896374
msp_0161,0.009394309067682587,-0.005480013622814708
msp_0162,0.3516425505808744,-0.20512482117217676
msp_0163,-0.1076000361503062,0.06276668775434552
msp_0164,-0.34397317949713296,0.2006510213733278
msp_0165,-0.33952352886861503,0.1980553918400254
msp_0166,-0.3474042221179864,0.2026524629021588
msp_0167c,0.3693649307608354,-0.21546287627715385
msp_0168,0.616960526895625,-0.3598936406891147
msp_0169,-0.1198311929542409,0.0699015292233071
msp_0170,-0.7140834526005195,0.41654868068363654
msp_0171,-0.7010797072811796,0.40896316258068827
msp_0172,-0.9557658828971042,0.5575300983566444
msp_0173,0.5997643325316467,-0.3498625273101272
msp_0174,0.4732342621533823,-0.27605331958947305
msp_0175,-0.8126632237039597,0.474053547160643
msp_0176,0.747350711685993,-0.43595458181682933
msp_0177,-0.7628969465603638,0.44502321882687884
msp_0178,0.005555053353699784,-0.003240447789658383
msp_0179,-0.31310344229004045,0.18264367466919032
msp_0180,-0.3333537309384348,0.19445634304742035
msp_0181,-0.4229355656320974,0.24671241328539015
msp_0182,-0.5864279595393046,0.3420829763979276
msp_0183,-0.6529635432759988,0.3808954002443327
msp_0184,-0.31311925520293304,0.18265289886837763
msp_0185,-0.7539769964642866,0.439819914604167
msp_0186,-0.6905932882948816,0.40284608483868095
msp_0187,-0.5288536841055761,0.30849798239491955
msp_0188,-0.7762782587002416,0.4528289842418074
msp_0189,0.06689195044467386,-0.03902030442605989
msp_0190,0.8559804586648136,-0.49932193422114124
msp_0191,-0.5915130857056436,0.34504929999495876
msp_0192,0.4298822849706115,-0.25076466623285715
msp_0193,-0.7696345078968372,0.4489534629398216
msp_0194,-0.4894690527785929,0.2855236141208456
msp_0195,0.5040181645937557,-0.2940105960130243
msp_0196,-0.4875720066827334,0.284417003898261
msp_0197,0.5232841142194337,-0.30524906662800316
msp_0198,-0.7939649365020142,0.46314621295950836
msp_0199,0.7803388308820018,-0.4551976513478342
msp_0200,-0.35728579558787094,0.2084167140929247
msp_0201,-0.6171728849556418,0.36001751622412437
msp_0202,-0.7935101439971994,0.46288091733169967
msp_0203,-0.7540273605967979,0.4398492936814653
msp_0204,-0.6522687582197426,0.38049010896151664
msp_0205,0.1750599168384698,-0.10211828482244069
msp_0206,0.22139358734654385,-0.12914625928548373
msp_0207,-0.6296874511299441,0.3673176798258007
msp_0208,-0.6486769619219942,0.37839489445449653
msp_0209,0.5873328907131683,-0.3426108529160148
msp_0210,-0.828037136246808,0.48302166281063824
msp_0211,-0.3841757657116428,0.22410252999845806
msp_0212,-0.9043243370389541,0.5275225299393902
msp_0213,-0.6128443373211688,0.3574925301040153
msp_0214,-0.7370005664014763,0.429916997067528
msp_0215,0.07324314435198027,-0.042725167538655344
msp_0216,-0.46219401154821754,0.2696131734031269
msp_0217,-0.4688843955425503,0.2735158973998209
