DATASET_MULTIBAR
#In multi-value bar charts, each ID is associated to multiple numeric values, which are displayed as a stacked or aligned bar chart
#lines starting with a hash are comments and ignored during parsing
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL,example multi bar chart

#dataset color (can be changed later)
COLOR,#ff0000

#define colors for each individual field column (if

#field labels

#=================================================================#
#                    OPTIONAL SETTINGS                            #
#=================================================================#

#dataset scale: you can simply set the values where the scale will be drawn
#DATASET_SCALE,2000,10000,20000
#or you can specify value, label, color, width, style and label size factor for each scale line (dash separated, format: VALUE-LABEL-COLOR-WIDTH-DASHED-LABEL_SCALE_FACTOR)) 
#DATASET_SCALE,2000-2k line-#0000ff-5-1-1,10000-line at 10k-#ff0000-1-0-2,20000-3rd line-#00ff00-5-1-1

#=================================================================#
#     all other optional settings can be set or changed later     #
#           in the web interface (under 'Datasets' tab)           #
#=================================================================#

#maximum width
WIDTH,1000

#left margin, used to increase/decrease the spacing to the next dataset. Can be negative, causing datasets to overlap.
MARGIN,0

#always show internal values; if set, values associated to internal nodes will be displayed even if these nodes are not collapsed. It could cause overlapping in the dataset display.
SHOW_INTERNAL,0

#bar height factor; Default bar height will be slightly less than the available space between leaves, but you can set a multiplication factor here to increase/decrease it (values from 0 to 1 will decrease it, values above 1 will increase it)
HEIGHT_FACTOR,1

#Bars are aligned to the node lines by default. Using BAR_SHIFT, you can move them all up/down by
BAR_SHIFT,0

#align individual fields; if set to 1, individual bar charts will not be stacked
ALIGN_FIELDS,0
FIELD_LABELS,rl0,rl1
FIELD_COLORS,#2a9087,#5c2936
DATASET_SCALE,100,300,500,700

#Internal tree nodes can be specified using IDs directly, or using the 'last common ancestor' method described in iTOL help pages
#=================================================================#
#       Actual data follows after the "DATA" keyword              #
#=================================================================#
DATA
msp_0001,0.533405665891364,0.46659433410863604
msp_0002,0.4541014304931558,0.5458985695068441
msp_0003,0.7539642801640453,0.24603571983595474
msp_0004,0.4642294484528333,0.5357705515471667
msp_0005,0.41806302758132796,0.581936972418672
msp_0006,0.807520761400421,0.19247923859957905
msp_0007,0.7997437384006156,0.20025626159938437
msp_0008,0.8391052730735753,0.1608947269264247
msp_0009,0.838104643443122,0.16189535655687803
msp_0010,0.6974193121636264,0.3025806878363736
msp_0011,0.7521037879613546,0.24789621203864542
msp_0012,0.9307191427369469,0.06928085726305311
msp_0013,0.9495922295594758,0.05040777044052425
msp_0014,0.8842934710775712,0.11570652892242883
msp_0015,0.8012991767172766,0.19870082328272343
msp_0016,0.7303491669636779,0.2696508330363221
msp_0017,0.9997703809077741,0.0002296190922258523
msp_0018,0.8090460704326937,0.19095392956730628
msp_0019,0.6921660611812853,0.3078339388187147
msp_0020,0.8436451729041922,0.15635482709580784
msp_0021,0.7470602157470561,0.25293978425294394
msp_0022,0.8535521865318345,0.1464478134681655
msp_0023,0.8490793695140096,0.15092063048599036
msp_0024,0.7337696366881927,0.26623036331180727
msp_0025,0.8438292309858706,0.1561707690141294
msp_0026,0.8252993697201504,0.1747006302798496
msp_0027,0.8703721694677674,0.1296278305322326
msp_0028,0.8214491170773563,0.17855088292264365
msp_0029,0.7794016658430449,0.22059833415695507
msp_0030,0.4421740676641369,0.5578259323358631
msp_0031,0.8224657366244539,0.17753426337554612
msp_0032,0.8931679254625378,0.10683207453746224
msp_0033,0.4244534307575575,0.5755465692424425
msp_0034,0.7388425008918111,0.26115749910818886
msp_0035,0.8596021524785362,0.14039784752146378
msp_0036,0.8957046913254132,0.1042953086745868
msp_0037,0.873451059790382,0.12654894020961804
msp_0038,0.19277438548749626,0.8072256145125037
msp_0039,0.437656806546849,0.562343193453151
msp_0040,0.8783511873615556,0.1216488126384444
msp_0041,0.14347098443696193,0.8565290155630381
msp_0042,0.6744510089373067,0.3255489910626933
msp_0043,0.7944056459902393,0.20559435400976067
msp_0044,0.6696276194202504,0.3303723805797496
msp_0045,0.8427634927508474,0.1572365072491526
msp_0046,0.9999999999999999,1.1102230246251565e-16
msp_0047,0.6561502984624239,0.3438497015375761
msp_0048,0.8165903299847591,0.1834096700152409
msp_0049,0.7323684044867151,0.26763159551328486
msp_0050,0.7697130869081248,0.2302869130918752
msp_0051,0.6453103689675144,0.35468963103248563
msp_0052,0.8649013410689339,0.1350986589310661
msp_0053,0.8938438551480404,0.10615614485195957
msp_0054,0.7883586876794919,0.2116413123205081
msp_0055,0.23309686208330915,0.7669031379166908
msp_0056,0.8337464122877267,0.16625358771227328
msp_0057,0.5107490481271659,0.4892509518728341
msp_0058,0.819431071093243,0.18056892890675702
msp_0059,0.9092056372923432,0.09079436270765684
msp_0060,0.20054471619922398,0.799455283800776
msp_0061,0.5046695485359696,0.49533045146403043
msp_0062,0.7760972629626126,0.2239027370373874
msp_0063,0.8934606171711181,0.10653938282888187
msp_0064,0.10531137775701305,0.894688622242987
msp_0065,0.7789131264074964,0.22108687359250356
msp_0066,0.807485688647786,0.19251431135221397
msp_0067,0.8158224166015009,0.1841775833984991
msp_0068,0.4216574504844392,0.5783425495155607
msp_0069,0.946710436962968,0.05328956303703203
msp_0070,0.7935880256254679,0.20641197437453207
msp_0071,0.7577080644358474,0.24229193556415263
msp_0072,0.5231832664089142,0.4768167335910858
msp_0073,0.47496352824364085,0.5250364717563591
msp_0074,0.524551090176271,0.475448909823729
msp_0075,0.5876701126064684,0.4123298873935316
