gp,index,Austria,China,Denmark,Fiji,Finland,France,India,Italy,Japan,Luxembourg,Madagascar,Mongolia,Peru,Spain,Sweden,"Tanzania, United Republic of",Thailand,United Kingdom,United States of America
msp_0001,Blastocystis sp. subtype 3,-0.36627485186922265,-0.2788792613147699,-0.2028715055424696,0.039731248447299014,-0.3749437602772953,-0.346413869571358,-0.21047515072854864,-0.3645119546367744,-0.3567502365237652,4.1965478614583835,-0.22392936268664673,-0.13892328878473878,-0.3187707416277546,-0.2951410098658122,-0.3749437602772953,0.17216195885902724,-0.05287179944280224,-0.3279724594849683,-0.17476805613048765
msp_0002,Blastocystis sp. subtype 1,-0.7901026313552563,-0.5248649032007089,1.1043887139009243,2.517540950045548,-0.8025101512202046,-0.8025101512202046,0.2802457908112876,-0.8025101512202046,-0.6138701896004793,-0.789506166396396,-0.3957219808698547,0.02188415063143141,0.3292736995271917,-0.8025101512202046,-0.2587515606748907,0.7700223023971429,2.363750710762496,-0.5628654989578221,-0.24138278213979536
msp_0003,Bacteroides cellulosilyticus,-0.5383715110374828,-0.2578468765539374,0.5702099608656415,-0.6872372284499363,3.6042727578553824,0.2014543506000733,-0.6632298999431281,-0.4314870781782504,-0.2615641503971812,-0.29321958027743716,-0.701366640564211,-0.47125167854457356,-0.7116417800947107,-0.3682190569270637,0.7091639255526807,-0.71300894339999,-0.5989113741584874,0.8722211219118632,0.7400336817407498
msp_0004,Blastocystis sp. subtype 2,-0.4580997977195055,-0.4526269591401202,3.0270715782181976,-0.3560591271014003,-0.4619254601008854,-0.3334317804673586,-0.43451738707352416,-0.12706685103930118,-0.4619254601008854,-0.4619254601008854,-0.426126446324074,-0.44127621761073,0.2659697464278124,-0.20909629775268174,-0.24602411853781445,2.7082491936709205,-0.4619254601008854,-0.24564807018099222,-0.4236156249658871
msp_0005,Escherichia coli,0.20073459709800778,0.07949072324050964,-0.26206746219355537,-0.20055422468671022,-0.8392374899844278,-0.29714591253273137,0.3104288330089706,-0.36650780895004875,-0.06621242943853375,-0.7210099962915333,3.9218054400483586,-0.540462063583408,-0.43274870472150484,-0.7915983425645573,0.4147172264353914,-0.11370053840510609,-0.7013271603610507,0.3630558749676851,0.04233943891424302
msp_0006,Blastocystis sp. subtype 4,-0.6423043791817398,-0.6838033505157148,0.7241564770119973,-0.6874935613256354,-0.6874935613256354,0.7405395159549841,-0.6874935613256354,-0.10079479554510976,-0.6874935613256354,1.332956944335663,-0.6874935613256354,-0.6874935613256354,-0.6874935613256354,1.3267179078558438,2.8440057369531107,-0.6874935613256354,-0.6874935613256354,1.0118635015840105,-0.36589550652232405
msp_0007,Bacteroides ovatus,-0.6122547265577781,0.0949631217796852,0.14605172241915096,-0.6751211930259586,3.4172438977397657,-0.28320144835013583,0.00816861114619641,-0.2302315536162861,-0.009129447236994886,-0.05896344260752708,-0.5805195864522609,-0.37342356738739385,-0.661009855553498,-0.2920313361219866,-0.6061448493873731,-0.7268928827285912,-0.6389390908191915,0.07745913579999249,2.0039764909601834
msp_0008,Bacteroides intestinalis,-0.4486455648600079,1.676173244020794,1.1027656914105084,-0.8512218504706427,-0.922406268990377,0.17856458722449634,-0.6641325383338391,-0.3914967627760816,-0.27666794260837096,-0.19903941347249013,-0.8914358697942255,-0.4250589303171979,-0.9076659882488531,1.5214274708701032,0.010566525504932483,-0.8671452073484366,-0.9129539830891116,2.475217750872261,0.7931550504065377
msp_0009,Clostridium bolteae,-0.3659848747592234,0.8934238661046069,-0.3868071366698375,-0.743054607772454,1.8858597241078117,-0.022377642837687728,-0.17072868289078405,0.5160555568276748,3.220395787190954,-0.1555504710606309,-0.7775365336117731,0.13150167234230858,-0.7697101403111775,-0.49703770902411415,-0.4943247561100867,-0.778390397779107,-0.7040516789736863,-0.33737104622227343,-0.4443109285505232
msp_0010,Bacteroides fragilis 1,-0.9988329131264336,1.9790263977018547,0.7940279026979777,-1.0686667984521856,0.16841222403747835,-0.1159758088075385,0.311870286118528,-0.6226179359701026,2.03195228692565,0.4795048979963051,-0.08600317864190918,0.13530286611026143,-1.125109251841711,-1.0119404446887923,-0.7972168931221408,-1.085354558344711,-0.8738942213018844,0.3273909201881623,1.558124222521188
msp_0011,Bacteroides thetaiotaomicron,-0.6032895161748438,0.6399417275187934,0.555900401486791,-0.7942323937738355,3.480692081040924,-0.12890782415656968,-0.5202947504664288,-0.56542933476584,0.8571260528402512,-0.28388261962515554,-0.6772808204295306,0.00783531466117481,-0.8100727048304417,-0.2947444643209927,-0.5196777534246009,-0.8564970822625501,-0.6723681094444626,0.15142301394664578,1.0337587821806749
msp_0012,Parabacteroides distasonis,-0.8582958260301622,0.38084126439653193,0.9037206109776894,-1.0420715476627953,1.1920463782051556,0.432740653618925,-0.7669109992530799,0.802694467446625,2.5419158683462877,-0.20749706655547373,-1.0666500526141678,-0.7160841620594854,-1.1210811243990404,0.47824289752335564,-0.43205460045784294,-1.1856003980438614,-0.7149876124998369,0.10637133282966955,1.272659916231506
msp_0013,Ruminococcus bicirculans,0.4672160789988764,0.1934451320397751,0.4127391730403199,-0.9607772357181882,-1.260637599441918,0.3855210506987602,-0.8459264596078192,0.426775016164011,0.23378809446678156,0.15469940186573666,-1.1575938066337466,-0.9472088815557891,-1.1797574492049707,1.310704092121373,2.117110387878764,-1.2187731248831604,-0.2473056042475387,0.24488693410039378,1.8710947999183432
msp_0014,Eisenbergiella tayi,0.5683144696216187,-0.23647245839539915,-0.487161028997233,-0.8969842808198841,0.18203136748240634,0.14155192805857478,-0.8641698053675896,2.2996408070602214,-0.26341912300809295,-0.625637882874283,-1.0047459553650089,-0.3671957063753699,-1.0047459553650089,1.0615584917697605,1.7352443164813292,-1.0047459553650089,-0.9618466823161028,1.6734715437168108,0.055311910058256246
msp_0015,Roseburia faecis,-0.17563205368328313,0.6000315811131139,0.6956486205084169,-0.6381781076482413,2.971353516536757,0.2722458510088079,-0.5312292820894572,1.096675917168919,-0.7163569648971152,0.4455802085911137,-0.00046852162469692647,0.02168320656378332,-1.059908092022769,-0.0007035466316036992,0.9387512535249886,-1.653177143683902,-0.6546255731370357,-0.52942815591935,-1.0822627136784444
msp_0016,Bacteroides plebeius,-0.7754102339459762,2.5678271049853962,-0.2658093814765792,-0.7918289793684128,-0.7934705493093425,0.18903128182126397,0.4367950487999651,0.07646148081506013,2.1402471400281176,0.32887391538299665,-0.7852485571011609,-0.7750756727995073,-0.7931527355888709,1.5109862949869048,-0.5405221258877154,-0.7934705493093425,-0.4954550917548753,-0.5055803768751278,0.06480198659720349
msp_0017,Roseburia intestinalis,-0.1937320129685402,0.5636134412076401,1.0502199340523828,-0.8514459852300238,0.5872555265537421,0.9603689927125432,-0.7112358355401043,0.49062426317520186,0.7627854440000881,2.4544401151828406,-1.3957097305246915,-0.8002519434829037,-1.3256763969357854,0.6860743499623561,0.6503234225025295,-1.0320773379543826,-1.2683945388894344,-0.5220247568917724,-0.10515695093168777
msp_0018,Clostridium sp. KLE 1755 & Clostridiales bacterium VE202-27,0.06720778020111026,0.28288799682670496,0.07792736636049016,-1.1071304926653764,1.1458096552094368,0.4814512976366438,0.9155913676332512,0.3741484212130066,-0.04742020956818509,-0.9858810660337226,-1.1071304926653764,-0.8403674077836428,-1.1071304926653764,-0.33449365558657196,0.2757224032343911,-1.1071304926653764,-1.0889878798891108,2.0076071445554007,2.0973187566523017
msp_0019,Bacteroides faecis,-0.08927756731062553,-0.5410528541259183,0.845644460498009,-0.8885441529720567,0.35364141149084466,0.5300712259602164,-0.8848307803668837,2.0309281270691986,-0.0031517630462044727,-0.5648704744435714,-0.8880855800250146,-0.8484271281790389,-0.7205861057038293,-0.32728581936898826,0.02498527540782806,-0.8885441529720567,-0.5877297152352604,0.6395384079830395,2.807577185340314
msp_0020,Clostridium clostridioforme 1,-0.30737060951954776,-0.028327811420158444,-0.1362582282827549,-0.6768115093932511,2.3670853714802482,-0.5699598466433397,0.45992232749621587,0.3068031780854818,2.8890418264437696,-0.6286174571935387,-0.6879660451089576,0.8200903862455238,-0.6879660451089576,-0.5239900947131134,-0.6701588134149196,-0.6879660451089576,-0.6879660451089576,-0.3532671739876324,-0.19631736474715028
