gp,index,Austria,China,Denmark,Fiji,Finland,France,India,Italy,Japan,Luxembourg,Madagascar,Mongolia,Peru,Spain,Sweden,"Tanzania, United Republic of",Thailand,United Kingdom,United States of America
msp_0001,Blastocystis sp. subtype 3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
msp_0002,Blastocystis sp. subtype 1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0003,Bacteroides cellulosilyticus,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0004,Blastocystis sp. subtype 2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
msp_0005,Escherichia coli,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
msp_0006,Blastocystis sp. subtype 4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
msp_0007,Bacteroides ovatus,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0008,Bacteroides intestinalis,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0009,Clostridium bolteae,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
msp_0010,Bacteroides fragilis 1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0011,Bacteroides thetaiotaomicron,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0012,Parabacteroides distasonis,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
msp_0013,Ruminococcus bicirculans,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0014,Eisenbergiella tayi,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0015,Roseburia faecis,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0016,Bacteroides plebeius,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0017,Roseburia intestinalis,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0018,Clostridium sp. KLE 1755 & Clostridiales bacterium VE202-27,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0019,Bacteroides faecis,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
msp_0020,Clostridium clostridioforme 1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
msp_0021,Bacteroides xylanisolvens,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0022,Bacteroides finegoldii,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
msp_0023,Bacteroides caccae,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
msp_0024,Hungatella hathewayi 2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0025,Akkermansia muciniphila,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
msp_0026,Paraprevotella clara,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0027,Parabacteroides merdae,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
msp_0028,Parabacteroides goldsteinii,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0029,Eubacterium eligens,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0030,Klebsiella pneumoniae,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
msp_0031,Bacteroides stercoris,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0032,Alistipes onderdonkii,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0033,Bacteroides fragilis 2,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
msp_0034,Faecalibacterium sp. CAG:74,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
msp_0035,Bacteroides dorei,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0036,Bacteroides eggerthii,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0037,Bacteroides salyersiae,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0039,Clostridium sp. CAG:127,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
msp_0040,Bacteroides massiliensis,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0041,Prevotella copri 1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0042,Coprococcus eutactus 2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0043,Bacteroides coprocola,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
msp_0044,Hungatella hathewayi 1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0045,Ruminococcus bromii 2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0046,Bacteroides uniformis,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0047,Eubacterium sp. CAG:115,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0048,Eubacterium sp. CAG:38,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0050,Eubacterium hallii,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0052,Blautia sp. CAG:257,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0053,Eubacterium siraeum,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0054,Bacteroides nordii,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0055,Firmicutes bacterium CAG:65 / Clostridium sp. 2789STDY5608883,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0057,Roseburia sp. CAG:45 & sp. 2789STDY5608886,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0058,Ruminococcus gnavus,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
msp_0059,Barnesiella intestinihominis,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0060,Firmicutes bacterium CAG:95,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
msp_0061,Bacteroides congonensis,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
msp_0062,Odoribacter splanchnicus,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0063,Bacteroides clarus,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0064,Alistipes sp. CAG:435,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
msp_0065,Ruminococcus sp. CAG:17 & Blautia sp. 2789STDY5608880,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0066,Clostridium sp. AT4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0067,Prevotella sp. 109 & CAG:255,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
msp_0068,Eubacterium rectale,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0069,Bacteroides vulgatus,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0070,Akkermansia sp. CAG:344,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
msp_0071,Roseburia hominis,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0072,Roseburia inulinivorans,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0074,Roseburia sp. CAG:100,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0075,Clostridium sp. CAG:91 & sp. 2789STDY5834873,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
msp_0076,Blautia wexlerae,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0078,Prevotella sp. CAG:732,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0079,Clostridium sp. CAG:7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0080,Prevotellamassilia timonensis,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0082c,Providencia rettgeri 2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0083,Parabacteroides johnsonii,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
msp_0084,Prevotella sp. CAG:386,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0086,Clostridium symbiosum,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0087,Lactobacillus rogosae,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0089,Alistipes finegoldii,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
msp_0090,Alistipes putredinis,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
msp_0091,Prevotella sp. CAG:604,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0092,Sutterella wadsworthensis 1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0093,Clostridium sp. CAG:62,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
msp_0096,Bacteroides sp. CAG:443,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0097,Paraprevotella xylaniphila,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0098,Parabacteroides gordonii,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0100,Morganella morganii,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
msp_0101,Bacteroides sp. CAG:875 & sp. 2789STDY5834845,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
msp_0103,Clostridium innocuum,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0104,Emergencia timonensis,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0105,Ruminococcus sp. CAG:177,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
msp_0106,Firmicutes bacterium CAG:240,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
msp_0107,Anaerostipes hadrus 1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0108,Enterobacter xiangfangensis,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
msp_0109,Clostridium scindens 2,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0110,Bilophila wadsworthia,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0111,Coprococcus sp. HPP0074 & HPP0048 / Lachnospiraceae bacterium 9_1_43BFAA & 6_1_37FAA,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
msp_0112,Blautia hydrogenotrophica,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
msp_0113,Blautia producta 2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
msp_0114,Bacteroides coprophilus,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0115c,Lachnoclostridium phytofermentans 2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0123,Prevotella sp. CAG:520,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
msp_0125,Firmicutes bacterium CAG:24 / Clostridium sp. 2789STDY5834869 & 2789STDY5834922,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0126,Ruminococcus torques,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0127,Ruminococcus sp. CAG:353 & sp. 2789STDY5834938,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0128,Butyricimonas virosa,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0129,Clostridium sp. CAG:58,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0130,Candidatus Gastranaerophilales bacterium x14,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0131,Phascolarctobacterium sp. CAG:207,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0132,Coprobacillus cateniformis,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
msp_0133,Coprococcus sp. 2789STDY5608819 / Clostridium sp. CAG:264,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
msp_0134,Megamonas funiformis == rupellensis,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
msp_0135,Clostridium clostridioforme 2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0136,Prevotella sp. P4-51 & PA-67 & P5-64 & P5-108 & CAG:474,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
msp_0138,Bifidobacterium pseudocatenulatum,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0139,Coprobacter fastidiosus,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0140,Klebsiella oxytoca,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0141,Blautia massiliensis,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0142,Blautia sp. CAG:52 & sp. 2789STDY5834917,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0143,Parabacteroides sp. CAG:409,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
msp_0144,Clostridium sp. CAG:138,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
msp_0145,Parasutterella excrementihominis,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0146c,Streptococcus sanguinis,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0148c,Veillonella dispar,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
msp_0150c,Clostridium methylpentosum,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0151,Butyricimonas synergistica 2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0152,Ruminococcus faecis,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
msp_0153,Erysipelatoclostridium ramosum,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0154,Fusicatenibacter saccharivorans,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0157,Klebsiella aerogenes,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0158,Eubacterium sp. CAG:252,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
msp_0160,Faecalitalea sp. UBA637,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0161,Eubacterium sp. CAG:248,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0163,Firmicutes bacterium CAG:227,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0164,Ruminococcus sp. 2789STDY5608794 & sp. 2789STDY5834890 / Firmicutes bacterium CAG:56,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0166,Bifidobacterium longum,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0167c,Plesiomonas shigelloides,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0168,Firmicutes bacterium CAG:194,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
msp_0169,Roseburia sp. CAG:197,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
msp_0170,Azospirillum sp. CAG:239,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0171,Blautia hansenii,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0172,Ruthenibacterium lactatiformans,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0173,Christensenellaceae bacterium Phil1 & Clostridium sp. CAG:226,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
msp_0174,Klebsiella quasipneumoniae,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
msp_0175,Lachnospiraceae bacterium TF01-11 / Clostridium sp. CAG:122,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0176,Prevotella sp. P4-65 & P4-76 & P5-60 & P5-119 & P5-125 & CAG:592,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
msp_0178,Ruminococcus sp. A254.MGS-254 & CAG:254,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0179,Coprococcus eutactus 1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0180,Blautia producta,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0182,Firmicutes bacterium CAG:424,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
msp_0183,Acetobacter sp. 46_36 & CAG:267,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0184,Culturomica massiliensis,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0186,Clostridium sp. CAG:299,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
msp_0187,Bacteroides sp. Marseille-P3166 & CAG:598,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
