,NW,W
Acetobacter sp. 46_36 & CAG:267,-0.6593322535552426,0.3550250596066692
Acetobacter sp. CAG:977,0.24725813519658396,-0.13313899587508363
Acholeplasma sp. CAG:878,0.35785770543207096,-0.1926926106172689
Acidaminococcus fermentans,0.2326484524820789,-0.1252722436441964
Acidaminococcus intestini,-0.642713517949473,0.3460765096651008
Acidaminococcus massiliensis,0.42647424542317386,-0.22963997830478594
Acidaminococcus sp. CAG:542,0.4255174451061342,-0.22912477813407237
Acidaminococcus sp. CAG:917,-0.3698508884364053,0.19915047838883357
Acidiphilium sp. CAG:727,0.763643969977819,-0.4111929069111334
Acinetobacter sp. N54.MGS-139 / Proteobacteria bacterium CAG:139,-0.7711429167937239,0.4152308013504671
Actinomyces oris,-0.22685073130134098,0.12215039377764504
Adlercreutzia equolifaciens,-0.47736049668234065,0.25704026744433733
Aeromonas caviae,0.5698024889121117,-0.3068167247988293
Aeromonas veronii,-0.0696369753231925,0.03749683286633432
Agathobaculum desmolans,-0.39802133677046037,0.21431918133794017
Aggregatibacter segnis,0.1774055046559561,-0.09552604096859173
Akkermansia muciniphila,-0.7026081966067755,0.378327490480571
Akkermansia sp. CAG:344,-0.5760924714854184,0.31020363849214827
Akkermansia sp. KLE1605,-0.5694951555378505,0.306651237597304
Alistipes finegoldii,-0.4919480771662176,0.2648951184741173
Alistipes ihumii,-0.416032940796445,0.22401773735193198
Alistipes indistinctus,-0.13858217025078834,0.07462116859657851
Alistipes inops == Tidjanibacter massiliensis,-0.6165554820476882,0.3319914134102937
Alistipes obesi,-0.5244874378035376,0.28241631266344325
Alistipes onderdonkii,-0.7484104530964807,0.4029902439750277
Alistipes putredinis,-0.7069427783807907,0.380661496051195
Alistipes senegalensis,0.2091188919048059,-0.11260248025643418
Alistipes shahii,-0.41016273235354356,0.22085685588267692
Alistipes sp. An31A,-0.4975425537197183,0.2679075289260021
Alistipes sp. An54 & An116,-0.5881100910016646,0.31667466438551173
Alistipes sp. CAG:268,-0.5298352177113872,0.2852958864599778
Alistipes sp. CAG:435,0.872970674259012,-0.4700611322933141
Alistipes sp. CAG:514,0.5447850795789538,-0.2933458120809751
Alistipes sp. CAG:831,-0.236066206138063,0.1271125725358801
Alistipes sp. CHKCI003,-0.27274016026573467,0.14686008629693392
Alistipes sp. Marseille-P2431,-0.5185200244523646,0.27920309008973465
Alistipes sp. Zagget8,0.4072918918097675,-0.21931101866679797
Alistipes timonensis,-0.5789532008383093,0.3117440312206281
Allisonella histaminiformans,0.25681726689991413,-0.1382862206384154
Alloprevotella tannerae,-0.1983177353932277,0.10678647290404553
Anaerococcus obesiensis == vaginalis,-0.2442458019224725,0.13151697026594655
Anaerofilum sp. An201,-0.5320953279118584,0.28651286887561606
Anaerofustis stercorihominis,-0.29651074194433374,0.15965963027771815
Anaeroglobus geminatus,-0.3667117546973914,0.19746017560628773
Anaeromassilibacillus sp. An172,-0.42172737681622957,0.2270839721318159
Anaeromassilibacillus sp. An250,-0.7414910827045411,0.3992644291485989
Anaeromassilibacillus sp. Marseille-P3371 & Clostridia bacterium UC5.1-1E11,-0.8231634554415637,0.4432418606223804
Anaerostipes caccae,-0.6159447573201111,0.3316625616339061
Anaerostipes hadrus 1,-0.6571409287809516,0.35384511549743525
Anaerostipes hadrus 2,-0.784155505640352,0.4222375799601893
Anaerotignum lactatifermentans,-0.5401244561626116,0.2908362456260217
Anaerotruncus colihominis,-0.861157053189783,0.46369995171757544
Anaerotruncus sp. CAG:390,0.1395217340201532,-0.07512708754931355
Anaerotruncus sp. CAG:528,-0.13785202485500145,0.07422801338346258
Atopobium parvulum,-0.2260622123341036,0.12172580664144023
Atopobium parvulum 2,-0.15979550260798958,0.08604373217353287
Azospirillum sp. 51_20,-0.8109714080886439,0.4366769120477313
Azospirillum sp. CAG:239,-0.7099615411933874,0.38228698371951625
