category,CV,CV,CV,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Hyperglycaemia,Hyperglycaemia,Hyperglycaemia,Hyperglycaemia,Hyperglycaemia,Hyperglycaemia,IBD,IBD,Infection,Inflammatory,Inflammatory,Inflammatory,Inflammatory,LiverD,LiverD,LiverD,LiverD,LiverD,PD,UC,VKH
cohort,ACVD:CHN:PRJEB21528,atherosclerosis:SWE:PRJNA177201,ob:DNK:PRJEB4336,CRC:AUT:PRJEB7774,CRC:CHN:PRJEB10878,CRC:FRA:PRJEB6070,CRC:GER:PRJEB27928,CRC:GER:PRJEB6070,CRC:ITA:PRJNA447983,CRC:JPN:PRJDB4176,CRC:USA:PRJEB12449,NSCLC:FRA:PRJEB22863,RCC:FRA:PRJEB22863,adenoma:ITA:PRJNA447983,adenoma:JPN:PRJDB4176,advanced adenoma:AUT:PRJEB7774,large adenoma:FRA:PRJEB6070,melanoma:USA:PRJNA397906,small adenoma:FRA:PRJEB6070,GDM:CHN:PRJEB18755,IGT:SWE:PRJEB1786,T1D:LUX:PRJNA289586,T2D:CHN:PRJNA422434,T2D:ESP:PRJNA361402,T2D:SWE:PRJEB1786,CD:CHN:PRJEB15371,CD:ESP:PRJEB2054,acute diarrhea:USA:PRJNA321753,BD:CHN:PRJNA431482,ME/CFS:USA:PRJNA379741,RA:CHN:PRJEB6997,SPA:CHN:PRJNA375935,LC:CHN:PRJEB6337,LC:GBR:PRJEB38481,NAFLD:ESP:PRJEB14215,NAFLD:ITA:PRJEB14215,NAFLD:USA:PRJNA373901,PD:GER:PRJEB17784,UC:ESP:PRJEB2054,VKH:CHN:PRJNA356225
msp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
msp_0001,0.0,0.0,0.0,0.1281576457599293,0.0,0.0,0.1345539856978438,0.0,0.0,0.0,0.0,0.0601413396937146,0.0,0.0,0.0,0.0,0.0239313205902352,0.0,0.0470066387701466,0.0,0.0,0.1022068529950843,0.0,0.0,0.0,0.0,0.0,0.0,0.0462355797748138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0635354199663647,0.1755943803039064,0.0,0.0121244418143767
msp_0002,0.0,0.0,0.0,0.0214868551063497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0199146433084765,0.0,0.0,0.0,0.0,0.0157546277123117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0584544493789953,0.0,0.0,0.0,0.0137886826034839,0.0,0.0,0.0284724235453179,0.0,0.0,0.0076465840285756
msp_0003,0.0,0.0,0.0,0.1340152219205865,0.0302613413476726,0.0528992046871617,0.0,0.0647466668551677,0.0098426662006741,0.1242398532218943,0.1276432486674972,0.0491208205090296,0.1172373749359331,0.0,0.063969997631409,0.1089692888387691,0.1544359199953303,0.0,0.0642549262773125,0.0,0.0,0.0,0.0341923568535383,0.0,0.0,0.0,0.0,0.0,0.0,0.0627716951509232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1879195350911975,0.0,0.0
msp_0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0772238512007091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0866167870480749,0.0,0.0,0.0,0.0,0.0,0.0933163845031549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0418894799951699,0.0,0.0,0.052243631818468
msp_0005,0.2209897054892821,0.135514882928128,0.0760969431980244,0.2484162605759444,0.0686545149456505,0.0828072869737191,0.0,0.2301824232771018,0.3108006203266316,0.0398919335871856,0.2035123347010488,0.0994243423880057,0.0725011070162662,0.2408618482684564,0.0300697711251459,0.0,0.0,0.2223158011418825,0.0090428036306074,0.0,0.0,0.2278842859226441,0.1162428608084861,0.2178125241935614,0.0,0.2364301544328782,0.4518480570575323,0.156022887723222,0.0,0.1436158998189908,0.0349478854622527,0.0,0.0105126926649209,0.0,0.3020127307988857,0.0,1.0,0.047255750141153,0.3529337396200945,0.0454741960025577
msp_0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036781129865637,0.0,0.0,0.0556403793393262,0.0,0.0,0.0,0.0,0.0,0.0908996691261038,0.0,0.0,0.0,0.0,0.0,0.0,0.0367609195840131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0693638932286391,0.0,0.0
msp_0007,0.0,0.0,0.0684117867996354,0.2933177453698071,0.0,0.0,0.0,0.0,0.0,0.0368685683477654,0.0,0.0,0.1004871856965544,0.0,0.0275044620818176,0.0,0.0,0.0,0.0,0.030119692590683,0.0147949369816204,0.0,0.0007587624956969,0.1235792222900185,0.076000819459988,0.0,0.2265670834771289,0.0,0.0,0.0496551653853259,0.0,0.0176151004035332,0.0557144702954563,0.0230897497401845,0.0976808770889718,0.1269663094487206,0.0,0.0,0.2038588765750502,0.0
msp_0008,0.0,0.0,0.0,0.1104830415359497,0.0,0.0,0.0184625675062606,0.0,0.0,0.0,0.0,0.0,0.0044603444083347,0.0646896366542311,0.0,0.0405244308200773,0.0,0.1301160301631563,0.0,0.0231532982294374,0.0,0.058779632111457,0.0126235456102297,0.065902849332044,0.0,0.0,0.0,0.0,0.0,0.2471072647291677,0.0,0.0,0.0,0.0,0.0860470242072289,0.0288635257889829,0.0173921566922,0.0,0.0,0.0
