category,Bowel,Bowel,Bowel,Bowel,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cardio_Vascular,Cardio_Vascular,Cardio_Vascular,Hyperglycaemia,Hyperglycaemia,Hyperglycaemia,Hyperglycaemia,Hyperglycaemia,Hyperglycaemia,Inflammatory,Inflammatory,Inflammatory,Inflammatory,Liver,Liver,Liver,Liver,Liver,Neurological,Neurological,Tumor,Tumor,Tumor,Tumor,Tumor,species
cohort,CD:CHN:PRJEB15371,CD:ESP:PRJEB2054,UC:ESP:PRJEB2054,acute diarrhea:USA:PRJNA321753,CRC:AUT:PRJEB7774,CRC:CHN:PRJEB10878,CRC:FRA:PRJEB6070,CRC:GER:PRJEB27928,CRC:GER:PRJEB6070,CRC:ITA:PRJNA447983,CRC:JPN:PRJDB4176,CRC:USA:PRJEB12449,NSCLC:FRA:PRJEB22863,RCC:FRA:PRJEB22863,melanoma:USA:PRJNA397906,ACVD:CHN:PRJEB21528,atherosclerosis:SWE:PRJNA177201,ob:DNK:PRJEB4336,GDM:CHN:PRJEB18755,IGT:SWE:PRJEB1786,T1D:LUX:PRJNA289586,T2D:CHN:PRJNA422434,T2D:ESP:PRJNA361402,T2D:SWE:PRJEB1786,BD:CHN:PRJNA431482,RA:CHN:PRJEB6997,SPA:CHN:PRJNA375935,VKH:CHN:PRJNA356225,LC:CHN:PRJEB6337,LC:GBR:PRJEB38481,NAFLD:ESP:PRJEB14215,NAFLD:ITA:PRJEB14215,NAFLD:USA:PRJNA373901,ME/CFS:USA:PRJNA379741,PD:GER:PRJEB17784,adenoma:ITA:PRJNA447983,adenoma:JPN:PRJDB4176,advanced adenoma:AUT:PRJEB7774,large adenoma:FRA:PRJEB6070,small adenoma:FRA:PRJEB6070,
msp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
msp_0001,0.0,0.0,0.0,0.0,0.12815764575992938,0.0,0.0,0.1345539856978438,0.0,0.0,0.0,0.0,0.06014133969371467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10220685299508431,0.0,0.0,0.0,0.046235579774813865,0.0,0.0,0.012124441814376781,0.0,0.0,0.0,0.0,0.06353541996636476,0.0,0.17559438030390642,0.0,0.0,0.0,0.023931320590235287,0.047006638770146644,Blastocystis sp. subtype 3
msp_0002,0.0,0.0,0.0,0.0,0.021486855106349786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015754627712311797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007646584028575613,0.0,0.013788682603483966,0.0,0.0,0.02847242354531792,0.05845444937899533,0.0,0.0,0.0,0.01991464330847659,0.0,0.0,Blastocystis sp. subtype 1
msp_0003,0.0,0.0,0.0,0.0,0.1340152219205865,0.0302613413476726,0.05289920468716178,0.0,0.06474666685516772,0.009842666200674158,0.1242398532218943,0.12764324866749724,0.04912082050902962,0.11723737493593314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034192356853538386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06277169515092322,0.18791953509119755,0.0,0.06396999763140901,0.1089692888387691,0.1544359199953303,0.06425492627731257,Bacteroides cellulosilyticus
msp_0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07722385120070911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0933163845031549,0.0,0.0,0.0,0.052243631818468014,0.0,0.0,0.0,0.0,0.04188947999516999,0.0,0.0,0.0,0.0,0.0,0.0,0.08661678704807499,Blastocystis sp. subtype 2
msp_0005,0.2364301544328782,0.4518480570575323,0.3529337396200945,0.15602288772322206,0.24841626057594443,0.06865451494565059,0.08280728697371913,0.0,0.23018242327710184,0.3108006203266316,0.03989193358718569,0.20351233470104887,0.09942434238800578,0.07250110701626628,0.22231580114188254,0.22098970548928212,0.13551488292812808,0.07609694319802449,0.0,0.0,0.2278842859226441,0.11624286080848616,0.2178125241935614,0.0,0.0,0.034947885462252734,0.0,0.04547419600255776,0.010512692664920923,0.0,0.30201273079888574,0.0,1.0,0.14361589981899087,0.04725575014115305,0.24086184826845644,0.030069771125145913,0.0,0.0,0.00904280363060749,Escherichia coli
msp_0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09089966912610381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03676091958401318,0.06936389322863919,0.036781129865637086,0.0,0.0,0.055640379339326265,0.0,Blastocystis sp. subtype 4
msp_0007,0.0,0.22656708347712895,0.20385887657505022,0.0,0.2933177453698071,0.0,0.0,0.0,0.0,0.0,0.03686856834776544,0.0,0.0,0.10048718569655447,0.0,0.0,0.0,0.06841178679963542,0.03011969259068308,0.014794936981620493,0.0,0.0007587624956969129,0.12357922229001857,0.07600081945998807,0.0,0.0,0.017615100403533247,0.0,0.05571447029545634,0.023089749740184583,0.09768087708897186,0.1269663094487206,0.0,0.04965516538532597,0.0,0.0,0.027504462081817643,0.0,0.0,0.0,Bacteroides ovatus
msp_0008,0.0,0.0,0.0,0.0,0.11048304153594975,0.0,0.0,0.01846256750626064,0.0,0.0,0.0,0.0,0.0,0.004460344408334766,0.13011603016315634,0.0,0.0,0.0,0.023153298229437423,0.0,0.058779632111457,0.012623545610229705,0.06590284933204407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08604702420722894,0.028863525788982942,0.017392156692200057,0.2471072647291677,0.0,0.0646896366542311,0.0,0.04052443082007735,0.0,0.0,Bacteroides intestinalis
msp_0009,0.1530222473186729,0.6670137985134991,0.12912209986101014,0.04435953660003103,0.08902837355058799,0.1527268656521874,0.14792185014373008,0.07552094074346563,0.3039389499665895,0.05661122001040496,0.003857992974946698,0.30306732255997315,0.4740554619242512,0.30853667736307516,0.2998593370498251,1.0,0.09108101274160892,0.10115013569560775,0.0,0.35345194830914595,0.0,0.20212445925429728,0.0,0.25952923880412754,0.0,0.0,0.0,0.0,0.058601722766374265,0.3746019058526326,0.06355585312193175,0.0,0.2606861648753267,0.2811888735339379,0.07030480816888296,0.0,0.02162568726377654,0.0024452529792820697,0.10019321168703503,0.0,Clostridium bolteae
