msp,sum,dif,species
msp_0792,2,2,Clostridium perfringens
msp_0610,2,2,Fusobacterium nucleatum subsp. animalis
msp_0005,2,2,Escherichia coli
msp_0616,2,2,Prevotella buccae
msp_0124,2,-2,unclassified Ruminococcaceae
msp_1127,2,2,Streptococcus anginosus
msp_1325,2,2,Megasphaera micronuciformis
msp_1453,2,2,Streptococcus vestibularis
msp_0884,2,2,Veillonella atypica
msp_1191c,2,2,Atopobium parvulum
msp_0221,2,2,Acidaminococcus intestini
msp_0742,2,2,Streptococcus parasanguinis
msp_0313,2,2,Veillonella parvula
msp_1034,2,2,Anaeroglobus geminatus
msp_1006,2,2,Lactobacillus fermentum
msp_0148c,2,2,Veillonella dispar
msp_0031,2,2,Bacteroides stercoris
msp_0259,2,-2,Coprococcus comes
