msp,sum,dif,species
msp_1339,3,1,Gordonibacter urolithinfaciens
msp_0356,2,0,unclassified Clostridiales
msp_0066,1,1,Clostridium sp. AT4
msp_0931,1,-1,unclassified Clostridiales
msp_0075,3,-3,Clostridium sp. CAG:91 & sp. 2789STDY5834873
msp_1143,2,-2,unclassified Oscillibacter
msp_0124,2,-2,unclassified Ruminococcaceae
msp_0138,1,-1,Bifidobacterium pseudocatenulatum
msp_0042,2,-2,Coprococcus eutactus 2
msp_1060c,4,2,unclassified Flavonifractor
msp_1605,1,1,unclassified Clostridiales
msp_0247,1,-1,Clostridium sp. 44_14 & CAG:277
msp_0113,1,1,Blautia producta 2
msp_0478,7,5,Clostridium phoceensis
msp_0045,5,-5,Ruminococcus bromii 2
msp_0141,3,-3,Blautia massiliensis
msp_0100,1,1,Morganella morganii
msp_0206,3,-3,Butyrivibrio crossotus
msp_0529,2,0,Eubacterium sp. CAG:581
msp_0202,1,-1,Acinetobacter sp. N54.MGS-139 / Proteobacteria bacterium CAG:139
msp_1336,1,1,Anaerococcus obesiensis == vaginalis
msp_0047,1,-1,Eubacterium sp. CAG:115
msp_0056,7,7,unclassified Clostridiales
msp_0299,3,-3,Eubacterium ramulus
msp_1308,1,1,Turicibacter sanguinis 2
msp_0189,1,-1,Blautia sp. CAG:237
msp_0679,1,-1,unclassified
msp_0780,2,-2,unclassified Lachnospiraceae
msp_0566,1,-1,unclassified Firmicutes
msp_0214,1,1,Alistipes sp. CAG:268
msp_0069,4,4,Bacteroides vulgatus
msp_1671c,1,1,Neglecta timonensis
msp_0894,1,1,unclassified Prevotella
msp_0976,1,1,unclassified Firmicutes
msp_0949,1,1,unclassified Erysipelotrichaceae
msp_0163,2,-2,Firmicutes bacterium CAG:227
msp_0480,1,-1,unclassified Clostridiales
msp_0777,2,-2,Firmicutes bacterium CAG:129
msp_1034,2,2,Anaeroglobus geminatus
msp_0223,1,-1,Clostridium sp. L2-50
msp_1132,1,-1,unclassified
msp_0182,1,1,Firmicutes bacterium CAG:424
msp_0225,3,1,Alistipes obesi
msp_1353,3,-3,unclassified Clostridium
msp_1193,4,4,Dialister pneumosintes
msp_0712,4,4,Lactobacillus salivarius
msp_0029,2,-2,Eubacterium eligens
msp_1545,2,-2,unclassified
msp_1012,2,0,Intestinimonas massiliensis
msp_1094,1,-1,unclassified Firmicutes
msp_0173,2,-2,Christensenellaceae bacterium Phil1 & Clostridium sp. CAG:226
msp_1124,1,1,unclassified Lachnospiraceae
msp_0198,2,-2,Coprobacter secundus == Gabonia massiliensis
msp_0092,1,-1,Sutterella wadsworthensis 1
msp_0479,1,1,unclassified Erysipelotrichaceae
msp_0850,2,0,unclassified Firmicutes
msp_1138,1,1,Clostridium sp. CAG:628
msp_0313,2,2,Veillonella parvula
msp_0125,1,-1,Firmicutes bacterium CAG:24 / Clostridium sp. 2789STDY5834869 & 2789STDY5834922
msp_0374,3,-3,Gemmiger formicilis
msp_1793,1,1,Prevotella denticola
msp_0484,4,-4,unclassified Faecalibacterium
msp_0473c,1,-1,Clostridium sp. 2789STDY5834874 & sp. 2789STDY5608885
msp_0353,2,-2,unclassified
msp_0545,2,2,Pseudoflavonifractor sp. An184
msp_1603c,2,2,Atopobium parvulum 2
msp_0405,2,2,Ruminococcus sp. CAG:403
