DATASET_MULTIBAR
SEPARATOR COMMA
DATASET_LABEL,Bowel
COLOR,#070007
FIELD_LABELS,Depleted,Enriched
FIELD_COLORS,#ff0000,#0000ff
LEGEND_TITLE,Number_of_Cohorts
LEGEND_SHAPES,1,1
LEGEND_COLORS,#ff0000,#0000ff
LEGEND_LABELS,depleted,enriched
DATASET_SCALE,0,5,10
ALIGN_FIELDS,0
WIDTH,200
MARGIN,7
DATA
msp_0107,2,0
msp_0794,0,1
msp_0029,1,0
msp_0065,0,1
msp_0259,1,0
msp_0069,0,1
msp_0305,1,0
msp_0170,1,0
msp_0436,2,0
msp_0478,1,1
msp_0075,3,0
msp_0833,2,0
msp_0038,1,0
msp_0020,0,1
msp_0885,1,0
msp_0530,1,0
msp_0579,0,1
msp_0418,1,0
msp_0949,0,1
msp_0930,1,0
msp_0747,1,0
msp_0773,1,0
msp_0604,1,0
msp_0208,2,0
msp_0100,0,1
msp_1291,2,0
msp_0028,1,0
msp_0986,2,0
msp_0509,2,0
msp_0055,0,1
msp_0769,1,0
msp_0003,1,0
msp_0777,1,0
msp_0959,1,0
msp_0086,0,1
msp_0129,1,0
msp_0073,1,0
msp_0031,0,1
msp_0740,0,1
msp_0182,0,1
msp_0398,1,0
msp_0610,0,1
msp_0196,1,0
msp_0009,0,1
msp_0380,1,0
msp_1005,1,0
msp_0153,0,1
msp_0076,1,1
msp_0016,1,0
msp_0025,1,0
msp_1356,1,1
msp_0125,1,0
msp_1173c,1,0
msp_0396,2,0
msp_0583,0,1
msp_0908,1,0
msp_0090,2,0
msp_0563,1,0
msp_0663,1,0
msp_0335,1,0
msp_0893,1,0
msp_0058,0,1
msp_0225,1,0
msp_0024,0,1
msp_1785,0,1
msp_0722,1,0
msp_0183,1,0
msp_0766,0,2
msp_0046,0,1
msp_1826,0,1
msp_0168,0,1
msp_0148c,0,1
msp_0301,1,1
msp_0045,1,0
msp_0306,1,0
msp_1193,0,1
msp_0142,1,0
msp_0811,1,0
msp_0011,0,1
msp_0139,1,0
msp_0364,1,0
msp_0194,1,0
msp_0071,1,0
msp_0356,1,0
msp_0188,1,0
msp_1697,0,1
msp_0164,1,0
msp_0089,1,0
msp_0331,0,1
msp_0596,1,0
msp_0389,1,0
msp_0013,1,0
msp_0591,1,0
msp_0050,1,0
msp_0044,0,2
msp_0374,2,0
msp_0144,1,0
msp_0238,1,0
msp_0713,0,1
msp_0419,0,1
msp_1143,1,0
msp_0440,0,1
msp_0200,0,1
msp_0021,2,0
msp_0486,0,1
msp_0015,2,0
msp_1060c,1,0
msp_0052,0,1
msp_0572,2,0
msp_0442,2,0
msp_0346,2,0
msp_0296,1,0
msp_0042,1,0
msp_0712,0,1
msp_0506,1,0
msp_0594,1,0
msp_0484,2,0
msp_0847,1,0
msp_1724,1,0
msp_1013,0,1
msp_0861,1,0
msp_0054,1,0
msp_0457,1,0
msp_0449,1,0
msp_0665,1,0
msp_0227,1,0
msp_0126,0,1
msp_0851,2,0
msp_1325,0,1
msp_0318,1,0
msp_0206,1,0
msp_0903,1,0
msp_0334,0,1
msp_1349,1,1
msp_0035,0,1
msp_1682c,0,1
msp_0439,1,0
msp_1238,0,1
msp_0213,0,2
msp_0079,1,0
msp_0019,0,1
msp_0056,0,1
msp_1191c,0,1
msp_0032,1,0
msp_0521,1,0
msp_1783,0,1
msp_0068,2,0
msp_0715c,0,1
msp_0546,1,0
msp_0040,2,0
msp_0307,1,0
msp_0062,1,0
msp_0163,1,0
msp_0130,1,0
msp_0005,0,2
msp_0103,0,1
msp_1432,0,1
msp_0337,1,0
msp_1515,0,1
msp_0479,0,1
msp_0185,1,0
msp_0093,1,0
msp_0010,0,1
msp_0468,1,0
msp_0152,2,0
msp_0048,1,0
msp_0189,1,0
msp_0820,1,0
msp_1012,1,0
msp_0647,1,0
msp_0198,2,0
msp_0154,2,0
msp_1641,1,0
msp_0087,2,0
msp_0742,2,0
