DATASET_MULTIBAR
SEPARATOR COMMA
DATASET_LABEL,Cancer
COLOR,#070007
FIELD_LABELS,Depleted,Enriched
FIELD_COLORS,#ff0000,#0000ff
LEGEND_TITLE,Number_of_Cohorts
LEGEND_SHAPES,1,1
LEGEND_COLORS,#ff0000,#0000ff
LEGEND_LABELS,depleted,enriched
DATASET_SCALE,0,5,10
ALIGN_FIELDS,0
WIDTH,200
MARGIN,7
DATA
msp_0107,4,0
msp_0065,1,0
msp_0259,2,0
msp_1622,1,0
msp_0737,0,1
msp_0069,0,3
msp_1215,0,1
msp_1353,2,0
msp_0478,0,4
msp_1127,1,0
msp_0876,1,0
msp_0833,2,0
msp_0373,1,0
msp_0020,0,2
msp_0604,2,0
msp_0986,2,0
msp_0299,2,0
msp_1128,2,0
msp_0480,1,0
msp_0388,1,0
msp_0697,2,0
msp_0685,1,0
msp_0959,1,0
msp_0623,1,0
msp_1558,1,1
msp_0974c,3,0
msp_0610,0,6
msp_0196,0,1
msp_1094,1,0
msp_0180,0,2
msp_0380,3,0
msp_0553,1,0
msp_0512,1,0
msp_0076,3,1
msp_0945,1,0
msp_1702,2,0
msp_0917,1,0
msp_0017,2,0
msp_0551,1,0
msp_1403,2,0
msp_0317,0,1
msp_0090,0,1
msp_0024,0,1
msp_1492,1,0
msp_0092,1,0
msp_0046,0,1
msp_0059,0,1
msp_0652,1,0
msp_0404,1,0
msp_0306,1,0
msp_1533,1,0
msp_1193,0,2
msp_0879,1,0
msp_1302,1,0
msp_0161,1,0
msp_1339,1,1
msp_1584,0,1
msp_1028c,0,1
msp_0979,1,0
msp_0716,1,0
msp_0089,0,2
msp_0435,0,1
msp_1361,0,1
msp_0012,0,2
msp_0624,1,0
msp_0178,1,0
msp_0818,1,0
msp_0057,1,0
msp_1195,0,1
msp_0890c,1,0
msp_0044,0,2
msp_0374,1,0
msp_0621,1,0
msp_1342,1,0
msp_0146c,2,0
msp_0036,0,1
msp_0534,1,0
msp_0650,2,0
msp_1143,1,0
msp_0166,2,0
msp_0193,0,1
msp_0052,0,1
msp_0173,1,0
msp_0442,0,1
msp_0572,1,0
msp_0424,1,0
msp_0042,1,0
msp_1790,0,1
msp_0113,0,1
msp_0265,1,0
msp_1453,2,1
msp_0484,2,0
msp_0931,1,0
msp_0861,0,3
msp_0041,1,1
msp_0490,1,0
msp_0126,0,2
msp_0851,1,0
msp_0109,0,1
msp_0206,2,0
msp_0570,0,1
msp_0953,1,0
msp_1222,0,1
msp_0298,1,0
msp_0068,1,0
msp_0312,1,0
msp_0307,1,0
msp_1748,1,0
msp_0163,1,0
msp_1976,0,1
msp_1608c,1,0
msp_0780,1,0
msp_1570,0,1
msp_0360,0,4
msp_0925,0,1
msp_0468,1,0
msp_0542,1,0
msp_0152,2,0
msp_0236,2,0
msp_0761,1,0
msp_0723,1,0
msp_0150c,0,1
msp_0392,1,0
msp_1397c,0,1
msp_0436,2,0
msp_0319,1,0
msp_0461,1,0
msp_1320c,0,1
msp_0850,1,0
msp_1234,2,6
msp_0530,2,0
msp_0747,1,0
msp_0773,1,0
msp_0592,1,0
msp_0128,0,1
msp_0208,2,1
msp_1291,2,0
msp_0872,0,1
msp_0212,0,1
msp_0473c,1,0
msp_1038,1,0
msp_0086,0,6
msp_0545,0,2
msp_0573,0,1
msp_0308,0,1
msp_0405,0,1
msp_1543,2,0
msp_1244,1,0
msp_0398,1,0
msp_0910,2,0
msp_0385,0,1
msp_0456,1,0
msp_0009,0,4
msp_0034,1,0
msp_0232,0,1
msp_1652,0,1
msp_0153,0,2
msp_1641,2,0
msp_0141,2,0
msp_1156,2,3
msp_0916,1,0
msp_1336,0,1
msp_0563,1,0
msp_0225,0,1
msp_0722,2,0
msp_0588,0,1
msp_0426,0,1
msp_1287,2,0
msp_0622,1,0
msp_0067,0,1
msp_0045,2,0
msp_0142,2,0
msp_0613,0,1
msp_0364,0,2
msp_1006,0,1
msp_0194,1,0
msp_0831,0,1
msp_1177,0,1
msp_0188,2,0
msp_0859,0,1
msp_0164,2,0
msp_1428,1,0
msp_0074,1,0
msp_0331,0,3
msp_0828,0,1
msp_0050,2,0
msp_0452,1,0
msp_0144,1,1
msp_0713,0,2
msp_0471,0,1
msp_0440,2,0
msp_0200,0,1
msp_1060c,0,3
msp_0049,0,4
msp_0566,1,0
msp_1643c,2,0
msp_0263,1,0
msp_0679,1,0
msp_0602c,1,0
msp_0506,2,0
msp_1158,0,1
msp_1347c,1,0
msp_0901,0,1
msp_0027,0,1
msp_1564,1,0
msp_1021,1,0
msp_0457,1,0
msp_0227,1,0
msp_0560,0,1
msp_0172,0,3
msp_0147,0,1
msp_0630,1,0
msp_0776,1,0
msp_0541,0,1
msp_0437c,1,1
msp_0213,0,2
msp_0804,1,0
msp_0079,1,0
msp_0581,1,0
msp_0056,0,3
msp_0151,0,1
msp_0032,0,1
msp_0309,0,1
msp_0985,0,1
msp_0105,0,1
msp_0546,1,0
msp_0040,0,1
msp_1684,1,2
msp_0062,0,1
msp_0047,1,0
msp_0005,0,1
msp_0601c,0,1
msp_0103,0,1
msp_0417,0,1
msp_1671c,0,1
msp_0337,1,0
msp_0554,2,0
msp_0655,2,0
msp_0422,3,0
msp_0348,1,0
msp_1600,0,1
msp_0291,1,0
msp_0648,0,1
msp_0110,0,1
msp_0977,0,3
msp_0154,1,0
msp_1327,0,6
msp_0837,0,1
msp_0885,2,0
msp_0087,0,1
msp_0742,1,0
