DATASET_MULTIBAR
SEPARATOR COMMA
DATASET_LABEL,Liver
COLOR,#070007
FIELD_LABELS,Depleted,Enriched
FIELD_COLORS,#ff0000,#0000ff
LEGEND_TITLE,Number_of_Cohorts
LEGEND_SHAPES,1,1
LEGEND_COLORS,#ff0000,#0000ff
LEGEND_LABELS,depleted,enriched
DATASET_SCALE,0,5,10
ALIGN_FIELDS,0
WIDTH,200
MARGIN,7
DATA
msp_0763,1,0
msp_1219,0,1
msp_0188,1,0
msp_0259,2,0
msp_0215,0,1
msp_0331,0,1
msp_0596,1,0
msp_0305,1,0
msp_0408,0,1
msp_0247,1,0
msp_0436,1,0
msp_0050,1,0
msp_1127,0,2
msp_0961,1,0
msp_0314,1,0
msp_0894,0,1
msp_0144,1,0
msp_1603c,0,1
msp_0205,1,0
msp_0621,0,1
msp_0529,0,1
msp_0860,1,0
msp_0833,0,1
msp_1773,0,1
msp_0313,0,2
msp_1793,0,1
msp_1799,0,1
msp_0713,0,1
msp_0020,0,1
msp_0487,1,0
msp_0197,0,1
msp_0747,1,0
msp_1132,1,0
msp_0200,0,1
msp_1291,1,0
msp_0986,1,0
msp_0173,1,0
msp_1114,0,1
msp_0442,1,0
msp_0769,0,1
msp_0296,1,0
msp_1643c,1,0
msp_0424,1,0
msp_1790,0,1
msp_0712,0,1
msp_0602c,0,1
msp_0506,1,0
msp_1347c,1,0
msp_1453,0,2
msp_0792,0,2
msp_0777,1,0
msp_0781,1,0
msp_0884,0,2
msp_0959,1,0
msp_0844c,0,1
msp_0086,0,1
msp_1034,0,2
msp_1801,0,1
msp_0041,0,1
msp_0665,1,0
msp_0851,1,0
msp_0689,1,0
msp_0199,0,1
msp_0405,0,1
msp_0031,0,2
msp_1325,0,2
msp_0586,0,1
msp_0630,1,0
msp_0318,1,0
msp_1543,0,1
msp_1244,0,1
msp_0477,1,0
msp_0570,0,1
msp_1789,0,1
msp_1477,0,1
msp_0974c,0,1
msp_0398,1,0
msp_0610,0,2
msp_0196,1,0
msp_0009,0,1
msp_0380,0,1
msp_0616,0,2
msp_0221,0,2
msp_0124,2,0
msp_0034,1,0
msp_0271,1,0
msp_1005,1,0
msp_0153,0,1
msp_0213,0,1
msp_0699,1,0
msp_0016,0,1
msp_1356,1,0
msp_0056,0,1
msp_0917,1,0
msp_1191c,0,2
msp_0396,1,0
msp_0521,1,0
msp_1783,0,1
msp_0312,1,0
msp_1403,1,0
msp_1786,0,1
msp_0090,1,0
msp_1329,0,1
msp_0715c,0,1
msp_0563,1,0
msp_0307,1,0
msp_0663,1,0
msp_0077,0,1
msp_1748,0,1
msp_0062,1,1
msp_0005,0,2
msp_1785,0,1
msp_0024,0,1
msp_0722,1,0
msp_0183,0,1
msp_0845,1,0
msp_1492,1,0
msp_1315,1,0
msp_0655,1,0
msp_0223,1,0
msp_0422,1,1
msp_0093,1,0
msp_0148c,0,2
msp_0925,0,1
msp_1782,0,1
msp_0045,1,0
msp_0881,0,1
msp_1193,0,1
msp_0306,1,0
msp_1006,0,2
msp_0291,1,0
msp_0142,1,0
msp_0811,1,0
msp_0152,1,0
msp_0977,1,0
msp_1220,0,1
msp_0647,1,0
msp_1545,1,0
msp_0742,0,2
