DATASET_MULTIBAR
SEPARATOR COMMA
DATASET_LABEL,all_diseases
COLOR,#070007
FIELD_LABELS,Depleted,Enriched
FIELD_COLORS,#ff0000,#0000ff
LEGEND_TITLE,Number_of_Cohorts
LEGEND_SHAPES,1,1
LEGEND_COLORS,#ff0000,#0000ff
LEGEND_LABELS,depleted,enriched
DATASET_SCALE,0,5,10
ALIGN_FIELDS,0
WIDTH,200
MARGIN,7
DATA
msp_0297,0,1
msp_0107,8,0
msp_0029,2,0
msp_0065,1,1
msp_1404,1,0
msp_0259,6,0
msp_1622,1,0
msp_0215,1,1
msp_0737,0,1
msp_0069,0,4
msp_1069,0,1
msp_1215,0,1
msp_0246,0,1
msp_1353,3,0
msp_0478,1,6
msp_1127,1,3
msp_0961,2,0
msp_0075,3,0
msp_0314,1,1
msp_0876,1,0
msp_0064,0,1
msp_0860,1,0
msp_0833,5,1
msp_1773,0,1
msp_0760,1,0
msp_0373,1,1
msp_1793,0,1
msp_0446c,0,1
msp_0020,0,6
msp_0949,0,1
msp_0930,2,0
msp_0604,4,0
msp_0100,0,1
msp_1124,0,1
msp_0986,5,1
msp_1114,0,1
msp_0055,0,1
msp_0299,3,0
msp_1128,2,0
msp_0480,1,0
msp_0388,1,1
msp_0697,2,0
msp_0233,0,1
msp_0685,1,0
msp_0959,4,0
msp_0844c,0,1
msp_0623,1,0
msp_1558,2,1
msp_1131,0,1
msp_0073,1,1
msp_0066,0,1
msp_0290,0,1
msp_0740,0,1
msp_0182,0,1
msp_0974c,3,2
msp_0610,0,9
msp_0196,2,1
msp_1094,1,0
msp_0380,6,2
msp_0180,0,4
msp_0095,0,2
msp_0143,0,1
msp_0124,2,0
msp_0553,1,1
msp_0494,0,1
msp_1005,2,0
msp_0512,1,0
msp_0076,6,3
msp_1418c,1,1
msp_0945,2,0
msp_1702,2,1
msp_1356,2,1
msp_0125,1,0
msp_0895,0,1
msp_0017,2,0
msp_0917,2,0
msp_0748,1,0
msp_0551,1,0
msp_0396,3,0
msp_1403,4,0
msp_0583,0,2
msp_1786,0,1
msp_0317,0,1
msp_0090,3,1
msp_0335,1,1
msp_0058,0,2
msp_0024,0,4
msp_1785,0,2
msp_0183,1,1
msp_0357,0,1
msp_1492,2,0
msp_0092,1,0
msp_0046,0,2
msp_0059,0,1
msp_0652,1,0
msp_0404,1,0
msp_0214,0,1
msp_1491,1,0
msp_0168,0,1
msp_1118,0,1
msp_0148c,0,3
msp_0301,1,1
