category,CV,CV,CV,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Hyperglycaemia,Hyperglycaemia,Hyperglycaemia,Hyperglycaemia,Hyperglycaemia,Hyperglycaemia,IBD,IBD,Infection,Inflammatory,Inflammatory,Inflammatory,Inflammatory,LiverD,LiverD,LiverD,LiverD,LiverD,PD,UC,VKH
cohort,ACVD:CHN:PRJEB21528,atherosclerosis:SWE:PRJNA177201,ob:DNK:PRJEB4336,CRC:AUT:PRJEB7774,CRC:CHN:PRJEB10878,CRC:FRA:PRJEB6070,CRC:GER:PRJEB27928,CRC:GER:PRJEB6070,CRC:ITA:PRJNA447983,CRC:JPN:PRJDB4176,CRC:USA:PRJEB12449,NSCLC:FRA:PRJEB22863,RCC:FRA:PRJEB22863,adenoma:ITA:PRJNA447983,adenoma:JPN:PRJDB4176,advanced adenoma:AUT:PRJEB7774,large adenoma:FRA:PRJEB6070,melanoma:USA:PRJNA397906,small adenoma:FRA:PRJEB6070,GDM:CHN:PRJEB18755,IGT:SWE:PRJEB1786,T1D:LUX:PRJNA289586,T2D:CHN:PRJNA422434,T2D:ESP:PRJNA361402,T2D:SWE:PRJEB1786,CD:CHN:PRJEB15371,CD:ESP:PRJEB2054,acute diarrhea:USA:PRJNA321753,BD:CHN:PRJNA431482,ME/CFS:USA:PRJNA379741,RA:CHN:PRJEB6997,SPA:CHN:PRJNA375935,LC:CHN:PRJEB6337,LC:GBR:PRJEB38481,NAFLD:ESP:PRJEB14215,NAFLD:ITA:PRJEB14215,NAFLD:USA:PRJNA373901,PD:GER:PRJEB17784,UC:ESP:PRJEB2054,VKH:CHN:PRJNA356225
msp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
msp_0001,0.0380579254333729,0.0,0.0476925220025988,0.0,0.03360388177838,0.0730230650218959,0.0,0.0776500419612757,0.0,0.019914835320391,0.0179165412014154,0.0,0.0,0.0,0.0,0.0721654793841283,0.0,0.0,0.0,0.0,0.0,0.0,0.0413879562928396,0.0843196188855268,0.0,0.0,0.0,0.0,0.0,0.0,0.0044761174368852,0.022159233181957,0.0352636126877927,0.0,0.0700501738931964,0.0,0.0,0.0,0.0,0.0
msp_0002,0.0,0.0,0.0756313907272333,0.0,0.0,0.0,0.0,0.2299069992175108,0.0,0.0130440954206239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0223397399589223,0.0,0.0460159710313765,0.0,0.0,0.0,0.0,0.0,0.0009754943183871,0.0009871381126018,0.0,0.0,0.0,0.0,0.0,0.0853503431673024,0.0,0.0
msp_0003,0.0368171387321244,0.2749186979537649,0.0414843435271123,0.0,0.0,0.0,0.0507422728291755,0.0,0.0,0.0,0.0,0.0,0.0,0.0105400821682851,0.0,0.0,0.0,0.0440280692396139,0.0,0.0229614701092587,0.208765631771939,0.099367883480208,0.0,0.132569796071974,0.3687471978611428,0.1433986180583057,0.1800596546425374,0.0303062255280613,0.0743445547999863,0.0,0.1292256692148605,0.1157618880029276,0.0950330305716933,0.1942536119547437,0.2045306987530626,0.1072268346178583,0.127711321757211,0.0,0.3539532054308915,0.0730303664042133
msp_0004,0.0,0.0,0.0924136732580182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0066055345104108,0.0,0.0350297158976078,0.0,0.0,0.0,0.0,0.0,0.0,0.0458487622250174,0.0,0.0,0.1559951625555765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0365556289240188,0.0,0.0,0.0,0.0,0.0326077325363011,0.0
msp_0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0069805822075578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016161137309824,0.0438368318559298,0.0,0.0,0.0809722103890893,0.1955818498545928,0.0,0.0,0.0,0.1671282697042264,0.0,0.0,0.0,0.0056827258722752,0.0,0.0,0.0624040034829162,0.0,0.0404052797716095,0.0,0.0577695855028885,0.0,0.0,0.0,0.0
msp_0006,0.0,0.0,0.1552797080354968,0.0,0.0,0.2819414453656848,0.0,0.0807810920403594,0.0120385935030683,0.0,0.0346712419768774,0.2864132609921188,0.2134522378619315,0.0,0.0,0.030627902004972,0.0,0.0227057036898606,0.0029563696883969,0.0,0.1366925227472504,0.0,0.0,0.0,0.1560134846455156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0299483492185335,0.0,0.0,0.0,0.0
msp_0007,0.0438624798644414,0.2222890308587477,0.0,0.0,0.0456207528289595,0.043638304470709,0.1489240374326426,0.1148939722033246,0.2034220089515932,0.0,0.1817359188495085,0.0701213061173792,0.0,0.0966724425023056,0.0,0.0267474760209448,0.084439648296457,0.1013837092222343,0.1993300087507724,0.0,0.0,0.0562311874354576,0.0,0.0,0.0,0.0579033080633104,0.0,0.025979187167887,0.0279621333073306,0.0,0.0279955339948111,0.0,0.0,0.0,0.0,0.0,0.0315290459008598,0.1163526316221995,0.0,0.0216384634068151
msp_0008,0.0399104208285485,0.0,0.1347266349103854,0.0,0.0479847761202624,0.0524126243221319,0.0,0.0192855089728742,0.0900152042132029,0.0343864293113082,0.1087882103038233,0.1211315320271777,0.0,0.0,0.0004949412522108,0.0,0.0679612359117295,0.0,0.1081896479644337,0.0,0.0713590819059258,0.0,0.0,0.0,0.2381564011620925,0.1950045691946124,0.0,0.0368157956806632,0.0353206403856812,0.0,0.0834877213493393,0.0473127771643829,0.1321394718899793,0.1439183141800818,0.0,0.0,0.0,0.0451808090759558,0.0326077325363011,0.0474163317451021
