category,Bowel,Bowel,Bowel,Bowel,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cancer,Cardio_Vascular,Cardio_Vascular,Cardio_Vascular,Hyperglycaemia,Hyperglycaemia,Hyperglycaemia,Hyperglycaemia,Hyperglycaemia,Hyperglycaemia,Inflammatory,Inflammatory,Inflammatory,Inflammatory,Liver,Liver,Liver,Liver,Liver,Neurological,Neurological,Tumor,Tumor,Tumor,Tumor,Tumor,species
cohort,CD:CHN:PRJEB15371,CD:ESP:PRJEB2054,UC:ESP:PRJEB2054,acute diarrhea:USA:PRJNA321753,CRC:AUT:PRJEB7774,CRC:CHN:PRJEB10878,CRC:FRA:PRJEB6070,CRC:GER:PRJEB27928,CRC:GER:PRJEB6070,CRC:ITA:PRJNA447983,CRC:JPN:PRJDB4176,CRC:USA:PRJEB12449,NSCLC:FRA:PRJEB22863,RCC:FRA:PRJEB22863,melanoma:USA:PRJNA397906,ACVD:CHN:PRJEB21528,atherosclerosis:SWE:PRJNA177201,ob:DNK:PRJEB4336,GDM:CHN:PRJEB18755,IGT:SWE:PRJEB1786,T1D:LUX:PRJNA289586,T2D:CHN:PRJNA422434,T2D:ESP:PRJNA361402,T2D:SWE:PRJEB1786,BD:CHN:PRJNA431482,RA:CHN:PRJEB6997,SPA:CHN:PRJNA375935,VKH:CHN:PRJNA356225,LC:CHN:PRJEB6337,LC:GBR:PRJEB38481,NAFLD:ESP:PRJEB14215,NAFLD:ITA:PRJEB14215,NAFLD:USA:PRJNA373901,ME/CFS:USA:PRJNA379741,PD:GER:PRJEB17784,adenoma:ITA:PRJNA447983,adenoma:JPN:PRJDB4176,advanced adenoma:AUT:PRJEB7774,large adenoma:FRA:PRJEB6070,small adenoma:FRA:PRJEB6070,
msp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
msp_0001,0.0,0.0,0.0,0.0,0.0,0.033603881778380015,0.07302306502189593,0.0,0.07765004196127574,0.0,0.019914835320391025,0.017916541201415493,0.0,0.0,0.0,0.03805792543337299,0.0,0.04769252200259883,0.0,0.0,0.0,0.0413879562928396,0.08431961888552685,0.0,0.0,0.004476117436885279,0.022159233181957075,0.0,0.03526361268779279,0.0,0.0700501738931964,0.0,0.0,0.0,0.0,0.0,0.0,0.07216547938412834,0.0,0.0,Blastocystis sp. subtype 3
msp_0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22990699921751087,0.0,0.013044095420623915,0.0,0.0,0.0,0.0,0.0,0.0,0.07563139072723338,0.0,0.0,0.0,0.022339739958922352,0.0,0.04601597103137654,0.0,0.0009754943183871216,0.000987138112601842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08535034316730247,0.0,0.0,0.0,0.0,0.0,Blastocystis sp. subtype 1
msp_0003,0.1433986180583057,0.18005965464253745,0.3539532054308915,0.03030622552806136,0.0,0.0,0.0,0.05074227282917551,0.0,0.0,0.0,0.0,0.0,0.0,0.04402806923961397,0.036817138732124485,0.2749186979537649,0.04148434352711232,0.02296147010925876,0.20876563177193905,0.099367883480208,0.0,0.132569796071974,0.3687471978611428,0.07434455479998633,0.1292256692148605,0.11576188800292764,0.07303036640421334,0.0950330305716933,0.19425361195474372,0.20453069875306262,0.10722683461785837,0.12771132175721103,0.0,0.0,0.010540082168285128,0.0,0.0,0.0,0.0,Bacteroides cellulosilyticus
msp_0004,0.0,0.0,0.03260773253630119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006605534510410834,0.0,0.0,0.0,0.0,0.09241367325801825,0.0,0.04584876222501746,0.0,0.0,0.15599516255557652,0.0,0.0,0.0,0.0,0.0,0.0,0.036555628924018854,0.0,0.0,0.0,0.0,0.0,0.035029715897607894,0.0,0.0,0.0,0.0,Blastocystis sp. subtype 2
msp_0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006980582207557882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08097221038908939,0.19558184985459287,0.0,0.0,0.0,0.16712826970422642,0.0056827258722752525,0.0,0.062404003482916234,0.0,0.0,0.04040527977160956,0.0,0.057769585502888535,0.0,0.0,0.0,0.0,0.0,0.016161137309824086,0.04383683185592982,0.0,Escherichia coli
msp_0006,0.0,0.0,0.0,0.0,0.0,0.0,0.2819414453656848,0.0,0.08078109204035945,0.01203859350306834,0.0,0.034671241976877494,0.2864132609921188,0.2134522378619315,0.02270570368986069,0.0,0.0,0.15527970803549687,0.0,0.13669252274725047,0.0,0.0,0.0,0.1560134846455156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029948349218533545,0.0,0.0,0.0,0.0,0.0,0.030627902004972046,0.0,0.0029563696883969015,Blastocystis sp. subtype 4
msp_0007,0.05790330806331049,0.0,0.0,0.025979187167887087,0.0,0.04562075282895951,0.04363830447070906,0.14892403743264268,0.11489397220332463,0.2034220089515932,0.0,0.18173591884950852,0.07012130611737927,0.0,0.10138370922223439,0.043862479864441424,0.22228903085874774,0.0,0.0,0.0,0.056231187435457644,0.0,0.0,0.0,0.027962133307330675,0.02799553399481111,0.0,0.021638463406815155,0.0,0.0,0.0,0.0,0.03152904590085989,0.0,0.11635263162219953,0.09667244250230564,0.0,0.026747476020944867,0.08443964829645703,0.1993300087507724,Bacteroides ovatus
msp_0008,0.19500456919461245,0.0,0.03260773253630119,0.03681579568066326,0.0,0.047984776120262425,0.05241262432213198,0.0,0.019285508972874288,0.09001520421320296,0.03438642931130824,0.10878821030382338,0.12113153202717773,0.0,0.0,0.039910420828548517,0.0,0.13472663491038542,0.0,0.0713590819059258,0.0,0.0,0.0,0.23815640116209252,0.03532064038568121,0.08348772134933939,0.04731277716438294,0.0474163317451021,0.13213947188997935,0.1439183141800818,0.0,0.0,0.0,0.0,0.04518080907595587,0.0,0.0004949412522108628,0.0,0.06796123591172953,0.10818964796443373,Bacteroides intestinalis
msp_0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010551198592177432,0.0,0.07273344413257254,0.0,0.06494773557360868,0.0,0.07058410277892531,0.048036061292680655,0.10742287781080373,0.12969082291181167,0.0,0.0,0.0,0.050986430020811234,0.0,0.0,0.0,0.02773991807715244,0.0,0.0,0.0,0.020659636861429503,Clostridium bolteae
