	msp	sum	dif
0	msp_1339	3	1
1	msp_0356	2	0
2	msp_0066	1	1
3	msp_0931	1	-1
4	msp_0075	3	-3
5	msp_1143	2	-2
6	msp_0124	2	-2
7	msp_0138	1	-1
8	msp_0042	2	-2
9	msp_1060c	4	2
10	msp_1605	1	1
11	msp_0247	1	-1
12	msp_0113	1	1
13	msp_0478	7	5
14	msp_0045	5	-5
15	msp_0141	3	-3
16	msp_0100	1	1
17	msp_0206	3	-3
18	msp_0529	2	0
19	msp_0202	1	-1
20	msp_1336	1	1
21	msp_0047	1	-1
22	msp_0056	7	7
23	msp_0299	3	-3
24	msp_1308	1	1
25	msp_0189	1	-1
26	msp_0679	1	-1
27	msp_0780	2	-2
28	msp_0566	1	-1
29	msp_0214	1	1
30	msp_0069	4	4
31	msp_1671c	1	1
32	msp_0894	1	1
33	msp_0976	1	1
34	msp_0949	1	1
35	msp_0163	2	-2
36	msp_0480	1	-1
37	msp_0777	2	-2
38	msp_1034	2	2
39	msp_0223	1	-1
40	msp_1132	1	-1
41	msp_0182	1	1
42	msp_0225	3	1
43	msp_1353	3	-3
44	msp_1193	4	4
45	msp_0712	4	4
46	msp_0029	2	-2
47	msp_1545	2	-2
48	msp_1012	2	0
49	msp_1094	1	-1
50	msp_0173	2	-2
51	msp_1124	1	1
52	msp_0198	2	-2
53	msp_0092	1	-1
54	msp_0479	1	1
55	msp_0850	2	0
56	msp_1138	1	1
57	msp_0313	2	2
58	msp_0125	1	-1
59	msp_0374	3	-3
60	msp_1793	1	1
61	msp_0484	4	-4
62	msp_0473c	1	-1
63	msp_0353	2	-2
64	msp_0545	2	2
65	msp_1603c	2	2
66	msp_0405	2	2
67	msp_0509	3	-3
68	msp_0130	1	-1
69	msp_1492	2	-2
70	msp_0713	4	4
71	msp_0624	2	0
72	msp_0152	5	-5
73	msp_0263	1	-1
74	msp_0213	6	6
75	msp_1786	1	1
76	msp_0874	1	1
77	msp_0468	4	-4
78	msp_0820	3	-3
79	msp_1748	3	1
80	msp_0233	1	1
81	msp_0457	3	-3
82	msp_0860	1	-1
83	msp_0301	2	0
84	msp_0312	3	-1
85	msp_0237	1	-1
86	msp_0348	1	-1
87	msp_1724	2	0
88	msp_0506	7	-5
89	msp_0164	3	-3
90	msp_0229	1	1
91	msp_1799	1	1
92	msp_0093	2	-2
93	msp_0309	1	1
94	msp_1111	2	0
95	msp_0844c	1	1
96	msp_0794	1	1
97	msp_0170	2	0
98	msp_0398	3	-3
99	msp_1592	1	1
100	msp_1672	1	1
101	msp_0553	2	0
102	msp_0763	1	-1
103	msp_0391	1	1
104	msp_1177	1	1
105	msp_0139	1	-1
106	msp_0613	2	2
107	msp_0435	1	1
108	msp_1428	1	-1
109	msp_0592	1	-1
110	msp_0034	3	-3
111	msp_1220	1	1
112	msp_0215	2	0
113	msp_0432	1	1
114	msp_0986	6	-4
115	msp_0107	8	-8
116	msp_0016	2	0
117	msp_0185	1	-1
118	msp_0193	1	1
119	msp_0059	1	1
