from,to,value
Isoleucyl-Isoleucine,PROK1,0.4312444972983664
Acetylglycine,IGFBP-2,0.43825277953289843
L-Glutamine,SERPINA7,0.441360116520424
Palmitoleic acid,CGA,0.44233412429956037
NEG_T081,PROK1,0.4460744589286599
Dehydroepiandrosterone,COL1A1,0.4480803590557309
Uric acid,CD38,0.45131677119174923
Arachidonate,CGA,0.4550505691564678
NEG_T082,PROK1,0.4592608789836086
2-Hydroxyhexanoate,PROK1,0.46026509546860606
9-HODE,CGA,0.4613222446732221
Aspartyl-Leucine,PROK1,0.4633528996283681
Suberate (octanedioate),PROK1,0.4645026645913809
Dehydroepiandrosterone sulfate,PROK1,0.46524570997564085
NEG_T075,PROK1,0.4658166816919669
L-Leucine,PROK1,0.4678995892336566
Androsterone sulfate,PROK1,0.47771833036854755
gamma-Glutamylleucine,PROK1,0.48541437617687094
NEG_T083,PROK1,0.5489561487600982
NEG_T076,PROK1,0.6333180303339455
