,,0
Adlercreutzia equolifaciens,Anaerostipes hadrus 1,5.1447238924478405e-05
Adlercreutzia equolifaciens,Bifidobacterium longum,6.114470379514721e-05
Adlercreutzia equolifaciens,Blautia obeum,0.00028321934620411656
Adlercreutzia equolifaciens,Blautia sp. Marseille-P3087 / Ruminococcus sp. 2789STDY5608882,9.141930616726443e-05
Adlercreutzia equolifaciens,Blautia wexlerae,0.0003801649054911184
Adlercreutzia equolifaciens,Clostridium sp. 2789STDY5834920,6.018278873692234e-05
Adlercreutzia equolifaciens,Coprococcus comes,0.00010491100623687293
Adlercreutzia equolifaciens,Dialister invisus,4.5902950067174755e-05
Adlercreutzia equolifaciens,Dorea longicatena 1,7.161548236390037e-05
Adlercreutzia equolifaciens,Eubacterium hallii,0.00011353331339730648
Adlercreutzia equolifaciens,Firmicutes bacterium CAG:114,7.889012696809561e-05
Adlercreutzia equolifaciens,Firmicutes bacterium CAG:24 / Clostridium sp. 2789STDY5834869 & 2789STDY5834922,5.321558653925318e-05
Adlercreutzia equolifaciens,Firmicutes bacterium CAG:41 / Clostridium sp. 2789STDY5834935 & sp. 2789STDY5608853,0.00019671905051421722
Adlercreutzia equolifaciens,Gordonibacter urolithinfaciens,8.031584492550661e-05
Adlercreutzia equolifaciens,Ruminococcus bromii 2,6.263614502969676e-05
Adlercreutzia equolifaciens,Ruminococcus sp. 2789STDY5608817 / Eubacterium sp. 2789STDY5834872,0.00016987225738261414
Adlercreutzia equolifaciens,Ruminococcus sp. CAG:17 & Blautia sp. 2789STDY5608880,8.275703934513583e-05
Adlercreutzia equolifaciens,Streptococcus thermophilus,7.644340786431022e-05
Adlercreutzia equolifaciens,bacterium LF-3 / Coprobacillus sp. CAG:235,5.2903566386722894e-05
Adlercreutzia equolifaciens,unclassified Eggerthellaceae,5.8689897911023705e-05
Adlercreutzia equolifaciens,unclassified Oscillibacter,0.0001115924656895111
Akkermansia muciniphila,Akkermansia muciniphila,0.00011586113419021963
Akkermansia sp. CAG:344,Akkermansia sp. CAG:344,0.00014608777480707618
Alistipes inops == Tidjanibacter massiliensis,Alistipes inops == Tidjanibacter massiliensis,0.0005269238865979216
Alistipes onderdonkii,Alistipes onderdonkii,0.00010954848750122938
Alistipes putredinis,Alistipes putredinis,0.0007317045439583368
Alistipes shahii,Alistipes shahii,0.00014086633964509605
Alistipes sp. CAG:268,Alistipes sp. CAG:268,0.0001341609171246947
Allisonella histaminiformans,Allisonella histaminiformans,0.00011592666096259381
Anaeromassilibacillus sp. An250,Anaeromassilibacillus sp. An250,0.0001225057438706588
Anaeromassilibacillus sp. Marseille-P3371 & Clostridia bacterium UC5.1-1E11,Anaeromassilibacillus sp. Marseille-P3371 & Clostridia bacterium UC5.1-1E11,0.00014023385163350243
