,0,val
0,Lactococcus lactis subsp. cremoris,1
1,Streptococcus infantarius,1
2,Alloprevotella tannerae,1
3,Bifidobacterium longum,1
4,Streptococcus thermophilus,1
5,Gemella sanguinis,1
6,Enterococcus faecalis,1
7,Escherichia coli,1
8,unclassified Actinobacteria,1
9,Lactococcus lactis subsp. lactis,1
10,Bifidobacterium breve,1
11,unclassified Veillonella,1
12,Oribacterium sinus,1
13,Haemophilus parainfluenzae,1
14,Streptococcus vestibularis,1
15,Lactobacillus reuteri,1
16,unclassified Proteobacteria,1
17,Selenomonas artemidis,1
18,unclassified Clostridiales Family XIII. Incertae Sedis,1
19,Fusobacterium necrophorum,1
20,Enterococcus gallinarum,1
21,unclassified Firmicutes,1
22,Fusobacterium nucleatum subsp. polymorphum,1
23,unclassified Lactobacillus,1
24,unclassified Selenomonas,1
25,Solobacterium moorei,1
26,Haemophilus paraphrohaemolyticus,1
27,unclassified Bacteria,1
28,Bacteroides vulgatus,1
29,Aggregatibacter segnis,1
30,Klebsiella pneumoniae,1
31,Enterobacter xiangfangensis,1
32,unclassified Fusobacterium,1
33,Granulicatella adiacens,1
34,Veillonella dispar,1
35,Prevotella denticola,1
36,Streptococcus mitis,1
37,Porphyromonas endodontalis,1
38,Lactobacillus fermentum,1
39,Lachnoanaerobaculum saburreum,1
40,unclassified,1
41,Butyrivibrio crossotus,1
42,Desulfovibrio fairfieldensis,1
43,Prevotella jejuni,1
44,unclassified Prevotella,1
45,Dialister invisus,1
46,Prevotella bivia,1
47,Haemophilus sputorum,1
48,unclassified Clostridiales,1
49,Streptococcus mutans,1
50,Streptococcus gordonii,1
51,unclassified Desulfovibrio,1
52,unclassified Lachnospiraceae,1
53,Paraprevotella clara,1
54,Fusobacterium periodonticum,1
55,Bifidobacterium dentium,1
56,Veillonella atypica,1
57,Peptostreptococcus anaerobius,1
58,unclassified Bacteroides,1
59,unclassified Bacteroidales,1
60,Streptococcus parasanguinis,1
61,Streptococcus salivarius,1
62,Bifidobacterium animalis,1
63,Lactobacillus salivarius,1
64,Haemophilus pittmaniae,1
65,Enterococcus faecium,1
66,Fusobacterium nucleatum subsp. animalis,1
67,Lactobacillus acidophilus,1
68,Lactobacillus oris,1
69,Prevotella salivae,1
70,Colibacter massiliensis,1
71,unclassified Selenomonadaceae,1
72,Megasphaera micronuciformis,1
73,Lactobacillus amylovorus,1
74,unclassified Olsenella,1
75,Veillonella tobetsuensis,1
76,unclassified Leptotrichia,1
77,Slackia exigua,1
78,Streptococcus salivarius 2,1
79,Peptoniphilus lacrimalis,1
80,Megasphaera sp. BL7 & NM10,1
81,Anaeroglobus geminatus,1
82,Pyramidobacter piscolens,1
83,Mitsuokella multacida,1
84,Clostridium sp. CAG:349,1
85,unclassified Bacteroidetes,1
86,Lactobacillus gasseri 1,1
87,Bifidobacterium scardovii,1
88,Atopobium parvulum,1
89,Fusobacterium gonidiaformans,1
90,unclassified Prevotellaceae,1
91,Actinomyces oris,1
92,Streptococcus anginosus,1
93,Campylobacter concisus 2,1
94,Klebsiella variicola,1
95,Lactobacillus crispatus,1
96,Lactobacillus mucosae,1
97,Dialister pneumosintes,1
98,Eggerthella lenta,1
99,Streptococcus sanguinis,1
100,Prevotella buccae,1
101,Lactobacillus vaginalis,1
102,Proteus mirabilis,1
103,Veillonella parvula,1
104,Lactobacillus johnsonii,1
105,Prevotella melaninogenica,1
106,Prevotella veroralis,1
107,Streptococcus oralis,1
108,Prevotella intermedia,1
109,Lactobacillus gasseri 2,1
110,Atopobium parvulum 2,1
111,Parvimonas micra,1
112,Peptostreptococcus stomatis,1
113,unclassified Mitsuokella,1
114,Streptococcus australis,1
115,Haemophilus parahaemolyticus,1
116,unclassified Porphyromonas,1
117,Lactobacillus casei == paracasei,1
