,CRC,adenoma,NAFLD,CD,IGT,T2D,ACVD,LC,RA,T1D,VKH,SPA,ME_CFS,melanoma,NSCLC,RCC
Acetobacter sp. 46_36 & CAG:267,-0.00023618897442744587,5.9908904269085836e-05,0.0008496732245620401,0.0,-0.0008588712574313945,-0.000733266711926875,-0.00023030232088015734,-0.00012904247313306206,-0.00012400971733720587,0.0002587941348219163,0.0,-6.018328063558996e-05,3.834178649237469e-05,-0.000233414161691055,0.0006344065068779928,0.0005604345226167594
Acetobacter sp. CAG:977,7.948728464574894e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0514171523032987e-05,0.0,0.00010451264288931155,0.0,0.0,0.0,0.0,0.0
Acholeplasma sp. CAG:878,3.4301503876611714e-06,0.0,-1.763836254490654e-05,0.0,0.0,-2.118076755349892e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.761964892344114e-05,-3.647903283522636e-05
Acidaminococcus fermentans,0.00022982000838959785,-5.948283634582185e-05,8.402390543142887e-05,0.0,0.0001230969917330901,1.685430783806958e-05,-1.8167737142135476e-05,-1.157638537822841e-05,5.6523199370503675e-05,0.0,0.0,0.0,0.0,0.00014522881276536365,0.00012479371645454125,0.00018343537404024208
Acidaminococcus intestini,0.0009952619959315893,0.0009066409111587544,0.01550886635830199,2.2310163260616917e-05,3.684807256235833e-05,-0.00020448471140913072,-0.00010775567373731912,0.0001708921450243775,-0.00017351082513294795,-0.00036547210694518837,-0.0002521510234187416,-6.443107440277659e-05,0.002051192582336866,0.00023240221844142035,0.0011086389219532719,-0.000112633226538868
Acidaminococcus massiliensis,8.671938976423152e-05,0.0013421244147169874,-0.00010276228614868583,0.0,0.0,-0.0001560909509423122,0.000160147954676916,0.00026810059571668595,-0.00010596447088087732,0.0,2.5412302503589794e-05,0.00032447696207397905,0.0,0.0,-5.993199937874537e-05,-5.290951988656564e-05
Acidaminococcus sp. CAG:542,2.827052092484079e-05,6.200738346273486e-05,-2.64094366825452e-05,0.0,-4.85534916196106e-05,5.8710877624973866e-05,-1.4313803437287982e-05,3.637516811154271e-05,-2.6917779464243936e-05,-8.656744515500489e-05,1.7395697194216498e-05,0.0,-6.834629280772135e-05,0.0,0.0,-2.4090042215463477e-05
Acidaminococcus sp. CAG:917,1.3187912303185619e-05,0.0,0.0,0.0,0.0,7.812361133541175e-06,0.0,-6.88039711302018e-06,0.0,0.0,0.0,-4.722905910464289e-05,0.0,0.0,-1.086933753211015e-05,0.0
Acidiphilium sp. CAG:727,-5.2064010394127956e-05,-2.9782805111671766e-05,0.0,0.0,0.0,-5.932619618342444e-05,-7.301910918525628e-05,-6.099903179075608e-05,-6.913241353548706e-05,-4.308085581715073e-05,0.0,-2.658394927811706e-05,-4.0046527777777844e-05,0.0,0.0,0.0
Acinetobacter sp. N54.MGS-139 / Proteobacteria bacterium CAG:139,-0.0007683030064090655,-0.003725287839745685,0.0003268935379831508,-8.932278138256795e-05,5.879852740077387e-05,-0.0005548473032084811,0.00012736851944518794,-0.00019007266393930317,0.005329788805524785,-0.0001952618361723177,0.00035691471685498055,0.000681074856199849,0.0007104985933206412,0.00044596562871484173,-0.0006112075568154074,-0.0004167208776243454
