from,to,value
Bifidobacterium,FGF-BP1,0.2961296247530583
Coprococcus,NEP,0.296414662117827
Acinetobacter,PD-L2,0.29752710897906404
Subdoligranulum,CLEC4D,0.29767774077798687
Butyricimonas,HO-1,0.29790419756097053
Eubacterium,CPA2,0.30344976980903915
Libanicoccus,CLEC4D,0.3048813353016563
Faecalitalea,LILRB4,0.3050368759007423
Erysipelatoclostridium,CLEC4D,0.3062975660954656
Lactobacillus,CPA2,0.30765342732863854
Butyricimonas,REG1A,0.31091757724460023
Intestinibacter,CD163,0.3113420872985865
Bacteroides,PSGL-1,0.3117756425194277
Ruthenibacterium,CLEC4D,0.31595110149499755
Acidaminococcus,sFRP-3,0.31631145863109167
Eubacterium,PRTG,0.31811261079471354
Dialister,KLK13,0.3197347742041202
Methanobrevibacter,CXCL9,0.3207474792521123
Prevotella,CCL15,0.32404465812459715
Catenibacterium,CD163,0.32993812742908246
