"","Acetobacter","Acholeplasma","Achromobacter","Acidaminococcus","Acidiphilium","Acinetobacter","Actinomyces","Adlercreutzia","Aeromonas","Agathobaculum","Aggregatibacter","Akkermansia","Alistipes","Allisonella","Alloprevotella","Anaerococcus","Anaerofilum","Anaerofustis","Anaeroglobus","Anaeromassilibacillus","Anaerostipes","Anaerotignum","Anaerotruncus","Atopobium","Azospirillum","Bacillus","Bacteroides","Barnesiella","Bifidobacterium","Bilophila","Blastocystis","Blautia","Brachyspira","Butyricicoccus","Butyricimonas","Butyrivibrio","Caecibacter","Campylobacter","Candidatus.Gastranaerophilales","Candidatus.Methanomethylophilus","Catabacter","Catenibacterium","Christensenella","Citrobacter","Cloacibacillus","Clostridioides","Clostridium","Colibacter","Collinsella","Comamonas","Coprobacillus","Coprobacter","Coprococcus","Coraliomargarita","Corallococcus","Cryptobacterium","Culturomica","Dakarella","Desulfovibrio","Dialister","Dielma","Dorea","Drancourtella","Duodenibacillus","Eggerthella","Eisenbergiella","Elusimicrobium","Emergencia","Enorma","Enterobacter","Enterococcus","Erysipelatoclostridium","Escherichia","Eubacterium","Faecalibacterium","Faecalicatena","Faecalicoccus","Faecalitalea","Fenollaria","Flavonifractor","Fournierella","Fusicatenibacter","Fusobacterium","Gemella","Gemmiger","Gordonibacter","Granulicatella","Haemophilus","Hafnia","Helicobacter","Holdemanella","Holdemania","Hungatella","Intestinibacter","Intestinimonas","Klebsiella","Kluyvera","Lachnoanaerobaculum","Lachnoclostridium","Lachnospira","Lactobacillus","Lactococcus","Leptotrichia","Leuconostoc","Libanicoccus","Mailhella","Marvinbryantia","Massiliomicrobiota","Mediterranea","Megamonas","Megasphaera","Merdimonas","Methanobrevibacter","Methanomassiliicoccus","Methanosphaera","Mitsuokella","Mobilibacterium","Morganella","Mycoplasma","Negativibacillus","Neglecta","Niameybacter","Odoribacter","Olsenella","Oribacterium","Oscillibacter","Oxalobacter","Parabacteroides","Paraprevotella","Parasutterella","Parvimonas","Peptoniphilus","Peptostreptococcus","Phascolarctobacterium","Phocea","Plesiomonas","Porphyromonas","Prevotella","Prevotellamassilia","Proteus","Providencia","Pseudoflavonifractor","Pyramidobacter","Raoultella","Rikenella","Romboutsia","Roseburia","Ruminiclostridium","Ruminococcus","Ruthenibacterium","Saccharopolyspora","Sanguibacteroides","Selenomonas","Sellimonas","Senegalimassilia","Slackia","Solobacterium","Sphaerochaeta","Streptococcus","Subdoligranulum","Succinatimonas","Sutterella","Treponema","Turicibacter","Turicimonas","Tyzzerella","Veillonella","Weissella","unclassified","unclassified.Acidaminococcaceae","unclassified.Actinobacteria","unclassified.Aeromonadales","unclassified.Alphaproteobacteria","unclassified.Bacillales","unclassified.Bacilli","unclassified.Bacteria","unclassified.Bacteroidaceae","unclassified.Bacteroidales","unclassified.Bacteroidetes","unclassified.Burkholderiales","unclassified.Christensenellaceae","unclassified.Clostridia","unclassified.Clostridiaceae","unclassified.Clostridiales","unclassified.Clostridiales.Family.XIII..Incertae.Sedis","unclassified.Coriobacteriia","unclassified.Desulfovibrionales","unclassified.Eggerthellaceae","unclassified.Erysipelotrichaceae","unclassified.Erysipelotrichales","unclassified.Euryarchaeota","unclassified.Firmicutes","unclassified.Gammaproteobacteria","unclassified.Lachnospiraceae","unclassified.Mollicutes","unclassified.Muribaculaceae","unclassified.Negativicutes","unclassified.Odoribacteraceae","unclassified.Oscillospiraceae","unclassified.Peptostreptococcaceae","unclassified.Prevotellaceae","unclassified.Proteobacteria","unclassified.Rhodospirillaceae","unclassified.Rhodospirillales","unclassified.Ruminococcaceae","unclassified.Selenomonadaceae","unclassified.Sutterellaceae","unclassified.Tissierellia"
"SRS294914",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,0,130565,0,826,326,0,4109,0,867,0,0,0,0,0,0,0,0,0,0,0,0,4283,0,471,0,768,0,2023,0,0,0,0,3096,0,433,0,1343,0,0,42,0,0,0,0,0,0,51,4272,27962,6924,0,0,0,0,110,0,1757,1048,0,0,0,0,597,0,0,0,0,0,0,0,0,0,0,747,79,0,0,0,0,0,0,0,0,0,27164,3710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2354,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,1806,3356,0,0,18,0,0,0,0,0,0,9,0,44,0,0,0,0,0,0,0,14,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12297,0,0,0,0,0,0,0,75,0,2209,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERS1424332",847,0,0,87,0,0,0,11,0,0,0,22526,52559,0,0,9,0,0,0,46,938,0,788,0,131,0,45635,377,4619,247,333,3099,0,620,271,17,0,0,0,0,20,0,0,0,404,0,338,0,1988,0,774,149,1042,8,0,77,0,0,794,2225,0,1072,0,0,102,0,0,0,0,0,0,135,12524,6256,9494,35,0,0,16,1117,0,573,0,0,605,20,0,0,0,0,0,36,178,71,679,0,0,0,152,323,8,9,0,0,0,0,0,0,0,0,0,0,5165,0,0,0,0,0,2392,0,45,0,296,217,0,2025,0,2606,921,24,0,0,0,215,10,0,64,1430,0,0,0,11,0,0,0,371,1387,1887,9056,4738,0,0,0,0,284,0,0,0,197,454,0,31,0,24,0,0,0,0,7968,0,0,0,0,0,0,0,0,0,0,96,464,14,0,59552,0,0,237,1796,0,0,0,19131,0,1752,0,0,0,0,1091,0,0,11,10,0,1912,0,0,0
"ERS328910",748,0,0,1765,0,0,0,2054,0,0,0,6,25744,0,0,0,0,0,0,1434,1223,1418,60,0,8,0,40596,7762,13135,63,219,6412,307,741,482,0,0,0,46,0,0,0,23,0,0,0,2081,0,1384,0,492,296,9324,0,0,0,0,0,653,0,0,4091,0,0,9,34,0,0,38,0,0,9,0,5908,5232,7,0,0,0,5391,0,2872,0,0,2506,672,0,0,0,0,0,63,0,17,22,0,0,0,763,917,2014,0,0,0,0,0,0,21,0,3299,0,29,1507,0,0,0,0,0,0,0,0,0,706,48,0,4392,0,4704,0,72,0,0,0,5151,0,0,0,1080,0,0,0,3455,0,0,0,21,8994,3845,17438,133,0,0,0,0,0,0,0,0,113,0,0,654,0,0,0,0,0,0,7012,0,195,0,0,0,0,0,0,0,0,0,0,4483,0,38951,0,0,0,1389,760,0,0,16192,0,3848,0,0,0,0,4538,0,0,34,23,0,6313,0,0,0
"SRS475924",0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,462,0,0,0,0,0,1053,0,316,27,0,3488,0,730,0,10,0,0,8,0,0,256,0,12,0,0,121,0,940,0,1094,0,1571,0,0,0,0,0,0,11,0,1167,0,0,19,0,8,0,0,1138,5,0,683,14001,10459,0,0,117,0,41,0,133,0,0,446,0,0,398,0,0,386,0,0,0,0,3615,20,0,80,83,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,78,0,480,0,84,0,0,0,6,9,6103,0,46,15,124335,14428,0,0,0,0,0,0,268,10872,0,1127,29,0,0,0,0,107,0,0,0,2022,0,5804,1207,0,14,0,0,203,346,352,0,0,0,0,0,0,0,0,2156,0,761,0,0,0,9355,0,0,0,121,0,0,0,752,0,23317,0,0,0,0,0,0,5,0,0,0,51,6,0,0
"SRS294924",0,0,0,0,0,0,0,0,0,0,0,0,718,82,0,0,0,0,0,0,61,0,0,0,0,0,6494,0,0,157,0,533,0,319,0,0,0,0,0,0,0,0,0,0,0,0,124,0,336,0,280,0,352,0,0,0,0,0,0,52,0,308,0,0,6,0,0,0,0,13,0,0,297,7139,4523,0,0,0,0,179,0,146,0,0,632,0,0,54,0,0,0,17,0,39,0,37,0,0,74,48,5348,0,0,0,0,0,0,0,0,2826,16,0,0,0,0,0,0,0,0,0,0,0,216,0,0,2196,0,445,0,0,0,0,0,4648,0,0,0,173563,0,0,0,0,0,0,0,83,1803,0,2475,10,0,0,0,0,24,0,0,0,0,0,0,2052,0,0,0,23,17,0,1818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3045,0,0,0,0,0,0,0,4201,0,6543,0,0,0,0,0,0,17842,0,0,0,79,0,0,0
"ERS537301",0,0,0,0,0,33,0,112,0,0,0,7,9909,0,0,0,0,0,0,14,464,0,0,0,0,0,12882,299,4735,205,0,4821,0,2013,86,0,0,0,0,0,0,0,21,66,0,0,256,0,627,0,588,914,9955,0,0,0,0,33,0,14583,0,1313,0,0,221,0,0,0,0,118,106,0,1337,19400,30266,0,51,0,0,131,0,265,0,9,2304,155,0,781,0,0,0,29,0,333,20,2309,0,0,174,296,2160,34,0,0,0,0,0,0,0,0,0,0,1099,0,0,0,0,0,0,0,0,0,123,0,0,5719,15,809,0,0,0,0,0,560,12,0,0,19525,0,0,0,0,0,33,0,210,19467,154,40581,212,0,0,0,0,110,0,10,0,962,0,0,38,0,39,0,0,283,0,2302,0,0,0,0,0,0,0,0,0,0,5,92,0,322,23746,0,0,0,0,0,0,0,6510,0,31611,0,0,0,0,279,0,0,61,0,0,8665,0,0,0
"SRS3638616",0,0,0,0,40,0,0,0,0,0,14,0,2644,0,0,0,0,0,0,0,86,0,0,0,0,0,1117,12,0,624,77,11248,411,675,271,8157,0,0,5292,0,0,0,0,0,0,0,731,0,1431,0,73,0,5106,0,0,0,0,0,667,122,0,4018,0,23,408,0,2366,0,0,6543,0,0,20,16246,5393,0,0,430,0,21,0,619,0,0,11144,0,0,259,0,0,487,0,0,75,0,207,0,0,67,208,929,610,0,0,0,0,0,0,0,0,0,0,4138,0,0,0,0,0,0,0,0,0,114,0,0,1035,0,239,0,0,0,0,0,4181,0,0,0,44773,12,0,0,0,0,0,0,1192,13637,8,11667,9,0,0,0,0,1474,0,9,0,736,0,6276,306,8286,0,0,0,96,86,29829,0,0,0,0,0,0,0,0,669,0,1960,0,0,0,34510,0,0,210,1091,0,0,0,26956,0,2426,0,0,0,0,133,0,7008,0,0,0,1559,0,0,0
"ERS848694",0,0,0,0,0,0,8,0,0,0,0,0,28,0,0,0,0,0,0,0,4836,0,5,0,0,0,23424,0,9949,313,0,31182,0,3076,0,0,0,0,0,0,0,0,0,0,43,0,3341,0,2249,0,6506,0,11339,0,0,0,0,477,0,6,88,16630,0,0,1578,143,0,5,0,0,0,176,933,40358,26188,22,0,0,0,6162,0,10865,28,25,0,0,0,49,0,0,0,121,29,264,9,8,0,0,508,105,6,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,274,0,1256,0,0,0,0,0,1422,0,0,0,20,0,0,0,0,0,0,0,0,123,196,4454,89,0,0,0,0,0,0,0,0,3027,0,0,219,0,0,0,904,28,0,612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9765,0,0,0,0,211,0,0,14525,0,8032,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X3828_v1",0,8078,0,0,0,0,0,154,0,0,0,4734,16953,0,0,0,0,0,0,437,960,0,0,0,0,0,36404,0,1224,286,342,10169,0,317,469,0,0,0,461,0,0,0,0,0,0,0,1446,0,1183,0,428,0,4169,0,0,0,0,0,0,91,0,2112,0,161,1644,0,0,0,0,0,0,0,709,39224,9197,0,0,0,0,1204,0,2231,0,0,2099,0,0,0,0,0,0,47,0,234,110,0,0,0,147,1475,0,0,0,0,0,0,0,0,0,0,0,0,1943,0,260,0,0,0,0,0,0,0,1056,0,0,4455,0,3722,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,1193,1315,134,8458,131,0,0,0,0,416,0,0,0,481,587,0,53,0,77,0,0,0,0,12457,6990,0,0,0,0,0,0,0,0,0,298,0,76,0,149906,0,0,0,0,220,0,0,24647,0,19878,0,0,0,0,514,0,0,0,0,0,922,0,0,0
"SRS146812",0,0,0,0,0,0,0,16,0,0,0,234,12049,0,0,0,0,0,0,20,134,0,0,0,0,0,31552,1995,1061,15,0,2845,0,310,288,0,0,0,0,0,0,0,0,0,0,0,161,0,116,0,794,0,407,0,0,0,0,0,37,876,0,578,0,0,21,0,0,0,0,0,0,96,70,3625,21600,0,0,0,0,900,0,321,0,0,256,0,0,0,0,0,0,45,0,0,20,0,0,0,129,271,2536,0,0,0,0,0,0,27,0,0,0,0,73,0,0,0,0,0,0,0,0,0,540,0,0,1500,91,3337,0,30,0,0,0,3240,7,0,0,232,0,0,0,7,0,0,0,0,4091,14109,4548,72,0,0,0,0,0,0,0,0,34,4803,0,0,0,0,0,0,9,0,7217,0,0,0,0,0,0,0,0,334,0,15,0,0,0,63771,0,6,0,0,12,0,0,32323,0,24135,0,0,0,0,420,0,0,14,0,0,2195,0,0,0
