"","Acetobacter","Acholeplasma","Acidaminococcus","Acidiphilium","Acinetobacter","Actinomyces","Adlercreutzia","Aeromonas","Agathobaculum","Aggregatibacter","Akkermansia","Alistipes","Allisonella","Alloprevotella","Anaerococcus","Anaerofilum","Anaerofustis","Anaeroglobus","Anaeromassilibacillus","Anaerostipes","Anaerotignum","Anaerotruncus","Atopobium","Azospirillum","Bacillus","Bacteroides","Barnesiella","Bifidobacterium","Bilophila","Blastocystis","Blautia","Brachyspira","Butyricicoccus","Butyricimonas","Butyrivibrio","Caecibacter","Campylobacter","Candidatus.Gastranaerophilales","Candidatus.Methanomethylophilus","Catabacter","Catenibacterium","Christensenella","Citrobacter","Cloacibacillus","Clostridioides","Clostridium","Colibacter","Collinsella","Comamonas","Coprobacillus","Coprobacter","Coprococcus","Coraliomargarita","Corallococcus","Cryptobacterium","Culturomica","Dakarella","Desulfovibrio","Dialister","Dielma","Dorea","Drancourtella","Duodenibacillus","Eggerthella","Eisenbergiella","Elusimicrobium","Emergencia","Enorma","Enterobacter","Enterococcus","Erysipelatoclostridium","Escherichia","Eubacterium","Faecalibacterium","Faecalicatena","Faecalicoccus","Faecalitalea","Fenollaria","Flavonifractor","Fournierella","Fusicatenibacter","Fusobacterium","Gemella","Gemmiger","Gordonibacter","Granulicatella","Haemophilus","Hafnia","Helicobacter","Holdemanella","Holdemania","Hungatella","Intestinibacter","Intestinimonas","Klebsiella","Kluyvera","Lachnoanaerobaculum","Lachnoclostridium","Lachnospira","Lactobacillus","Lactococcus","Leptotrichia","Leuconostoc","Libanicoccus","Mailhella","Marvinbryantia","Massiliomicrobiota","Mediterranea","Megamonas","Megasphaera","Merdimonas","Methanobrevibacter","Methanomassiliicoccus","Methanosphaera","Mitsuokella","Mobilibacterium","Morganella","Mycoplasma","Negativibacillus","Neglecta","Niameybacter","Odoribacter","Olsenella","Oribacterium","Oscillibacter","Oxalobacter","Parabacteroides","Paraprevotella","Parasutterella","Parvimonas","Peptoniphilus","Peptostreptococcus","Phascolarctobacterium","Phocea","Plesiomonas","Porphyromonas","Prevotella","Prevotellamassilia","Proteus","Providencia","Pseudoflavonifractor","Pyramidobacter","Raoultella","Rikenella","Romboutsia","Roseburia","Ruminiclostridium","Ruminococcus","Ruthenibacterium","Saccharopolyspora","Sanguibacteroides","Selenomonas","Sellimonas","Senegalimassilia","Slackia","Solobacterium","Sphaerochaeta","Streptococcus","Subdoligranulum","Succinatimonas","Sutterella","Treponema","Turicibacter","Turicimonas","Tyzzerella","Veillonella","Weissella"
"SRS1994022",0,0,0,0,0,32785,0,0,0,0,0,353671,0,0,0,0,0,0,0,95289145,0,0,241959,0,0,64335518,0,45605012,0,0,400384436,0,483175,0,0,0,0,0,0,0,0,0,0,0,0,2930492,0,0,0,0,0,47876325,0,0,0,0,0,0,475441,0,2249074,0,0,7004293,0,0,0,0,0,147357,13942101,15948215,13064637,0,0,0,0,0,1276794,0,11215851,0,32713,0,0,0,0,0,0,0,0,0,3324731,0,0,0,0,0,139985,0,384677,0,0,0,0,0,0,0,0,0,2499562,0,0,0,0,0,0,0,0,0,0,0,0,0,194647,0,13273082,0,533610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2843007,2361093,0,54152218,134848,0,0,0,0,0,0,0,0,3398829,0,0,0,0,437933,0,132625569,0,0
"ERS1487557",0,0,0,0,0,0,0,0,0,0,0,12526783,0,0,0,0,0,0,0,7519447,0,0,102755,0,0,18535401,0,3959099,594583,0,33340075,0,6530089,138237,0,0,79298,0,0,0,0,0,0,0,0,751467,0,4888250,0,2502987,0,19663173,0,0,0,0,42376,0,0,0,14544853,0,0,383420,0,0,0,0,632543,0,0,266548,30083419,52329340,0,0,2330426,0,192161,0,3255744,0,203104,20386165,0,71533,2301498,0,0,13867270,0,0,0,0,82459,0,0,1518588,1799102,19702789,0,0,0,0,0,0,0,0,177639,51378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3403556,0,1270431,1635720,0,0,0,0,20731693,0,0,0,396264472,0,0,0,0,0,0,0,0,27820031,64374,16503086,19661,0,0,0,0,1032446,0,54778,0,113623207,0,0,9756896,0,0,0,0,12137839,1082512
"SRS4597852",0,0,0,0,0,0,0,42971725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18354563,0,9625084,7102217,0,217362,0,0,0,0,0,0,0,0,0,0,0,28051181,0,0,0,0,281687,0,0,0,225581,0,0,0,0,3565075,0,17541289,0,187650,0,0,221217,0,0,0,0,121993520,239738,0,68350033,28803236,53625765,0,0,0,0,2518175,0,877670,0,0,10524425,0,0,3532015,0,0,0,0,0,0,0,73921391,4008472,0,0,0,250858,196367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54526600,0,0,0,25925092,0,0,0,0,0,0,0,34863354,0,1568641,329073,0,395953,280195,0,0,63427270,0,0,0,0,0,0,0,0,0,0,0,775107,0,0,0,0,0,0,0,2319235,212388
"DRS091039",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318033,287555,18577,0,0,0,246456839,0,30105,494150,0,284773708,0,3365830,0,0,0,0,0,0,0,0,0,0,0,0,11830354,0,4286956,0,0,0,94959083,0,0,0,0,0,0,0,0,0,0,0,175019,0,0,0,0,0,0,13142543,1218037,0,0,0,0,0,0,469003,0,24595,123060476,30518,0,0,0,0,0,0,0,0,74831,0,0,0,0,0,3211728,0,0,0,0,0,0,0,0,0,0,0,32689,0,0,0,0,0,0,0,0,0,0,0,210114,0,0,173839,0,121713660,15349369,0,27924,0,0,5607977,0,0,0,0,0,0,0,0,0,0,0,1578869,0,0,0,78992,0,0,0,0,0,0,0,0,2409310,0,0,23651860,0,0,0,30970751,50568,0
"ERS235505",0,0,0,0,0,127918,4937117,0,0,0,37802520,8835959,0,0,0,0,0,0,215211,23616250,0,94840,0,0,0,29147388,7043059,12986268,335446,0,205717296,0,54194,679862,0,0,0,1504817,0,248653,0,168028,0,0,0,6012112,0,16744736,0,11251710,32460,5702958,0,0,0,0,0,1337964,90759,0,49213408,0,0,9611359,6960190,0,87253,0,0,0,3018608,777023,49776158,3847883,272727,0,0,0,2216600,0,6616047,0,0,223146,4161167,0,0,0,0,0,432281,21768,2322534,844435,0,0,0,2254832,281287,231774,340696,0,503235,0,0,3370141,727342,0,0,0,0,0,0,0,0,0,0,0,0,6583413,0,271047,0,0,1946635,0,5165829,0,0,0,0,0,3550687,0,0,0,86504,0,0,0,0,0,0,0,554577,1536040,15076548,63363739,8753508,0,0,0,22834,0,0,42066,0,2194227,212589,0,0,0,0,0,0,0,0
"DRS091212",0,0,0,0,0,0,0,0,0,0,0,47856625,0,0,0,0,0,0,262201,712298,2445001,160622,0,0,0,427040890,21880308,7283748,2478742,0,13163346,0,834856,0,0,0,0,0,0,0,0,0,717467,0,0,4923310,0,1448327,0,2323321,0,0,0,0,0,0,0,0,0,0,0,0,0,212566,315762,0,36604,0,488301,0,135335,117229,83282445,31047205,0,0,0,0,14921883,0,8331223,0,0,7337799,0,0,210258,0,0,0,0,478395,96538,4577618,46023,0,0,3735181,462821,0,0,0,0,0,0,0,246269,0,0,0,0,0,0,0,0,0,0,0,1236789,0,0,0,0,0,11219453,0,33644209,0,0,0,0,0,16481059,262544,0,0,0,0,0,0,39266,0,0,0,202701,20335440,67544799,29747063,5398072,0,0,0,543693,0,0,0,0,2850866,0,0,6299788,0,0,0,926761,966089,0
"9V3",59002026,0,0,0,0,0,270904,0,0,0,959123,48549245,0,0,0,0,0,0,45325,13099110,0,22645,0,11544636,25550163,221693716,4336226,8064288,830099,0,16078255,0,681080,1037966,0,0,0,23372192,0,0,0,0,0,0,0,2889168,0,367548,0,4756597,911034,2861460,0,0,310110,0,0,0,0,0,1485362,0,0,32729,62732,0,0,49722,0,0,0,0,44312358,45538859,0,0,0,0,1822462,0,6859274,0,0,1735531,0,0,0,0,0,0,106234,0,0,154788,0,0,0,103533,1278361,20248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37361337,38543,0,0,15994019,0,0,9765923,0,13793348,0,383903,0,0,0,9435097,0,0,0,0,0,0,0,0,0,0,1729343,0,11592251,85152,53240792,179205,0,507979,0,0,0,0,0,0,1848292,3742615,0,956255,0,0,0,0,161526,0
"ERS1343386",965734,0,0,0,0,0,0,0,0,0,0,6466759,0,0,0,0,0,0,0,190775,0,0,0,65885,0,183621101,1202873,0,403941,0,10863367,0,2466849,0,0,0,0,0,0,0,0,0,0,35833,0,556064,0,21788257,0,1027418,0,2895990,0,0,0,0,0,85000,0,0,3422207,0,0,698079,0,0,0,0,0,0,454208,5524769,43439859,32902160,0,0,0,0,761149,0,1474048,0,31924,0,32978,0,0,0,0,0,0,45444,0,0,494385,0,0,652327,40144,0,0,0,0,0,0,0,0,0,448668365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536299,0,6084049,9056919,0,0,0,0,1177107,0,0,0,22828043,0,0,0,0,0,0,0,83102,11186415,0,62546791,18240,0,0,0,0,0,0,21897,0,11100327,0,0,0,0,0,0,0,43192,0
"ERS1801298",0,0,69095,0,0,0,113551,0,0,0,475206,1519582,46408,0,0,0,0,0,0,1887513,0,64481,1160333,0,0,367946880,0,829253,288360,0,44942148,0,7666307,296756,0,0,0,0,0,50014,0,0,0,70568,0,284571,0,770188,0,4970450,0,5056254,0,0,0,0,112105,263971,369605,0,54387488,0,0,3700657,137008,0,38300,605642,19649946,222803,52966845,1915061,20559038,4590299,0,0,0,0,2765259,0,4114478,1386183,2241204,1254818,0,37505,0,0,0,0,392149,264671,0,0,1962274,0,58662,13671674,74929,2475719,0,0,0,0,0,0,0,0,602751,0,0,398014,0,0,0,0,0,0,122685,0,0,92898,0,0,653721,0,25867683,0,0,0,0,0,14527230,0,0,0,1930255,0,0,0,28464,321337,0,0,0,1963998,31824,36330535,3255421,0,0,0,40191,0,0,1513861,0,179331787,0,0,0,0,0,0,3702086,1118524,113337
"DRS091144",0,0,28505,0,0,45227,0,0,0,313077,0,750560,2599614,0,0,0,0,47169,0,3627737,0,0,460591,0,0,31550558,0,1867565,86473,0,7935344,0,2471398,23458,0,95006,151262,0,0,0,0,0,3634852,0,0,25829,0,2492510,0,447942,0,2741181,0,0,0,0,0,117308,1047393,0,10026144,0,0,0,0,0,0,0,13917712,183554,0,117309,22118824,12353197,0,0,9021292,0,2225535,0,1018937,16858325,253942,370251,0,152761,8896600,0,0,0,0,0,0,0,17551764,0,868957,224703,331424,49823136,646348,0,0,0,0,0,0,0,360203,4749995,0,0,0,0,0,0,0,0,0,0,0,23473,0,160079,1937437,0,1648286,382287,0,0,0,91072,12781553,37368,0,0,404836111,0,0,0,0,0,662092,0,1516328,10878567,0,16381853,0,0,0,0,0,169586,0,1254688,0,52568184,0,0,14406701,0,0,0,0,46198707,0
