Best_Hit_ARO,nwCount,wCount
vanD,0.0,1.0
tetB(46),0.0,1.0
poxtA,0.0,1.0
vanI,0.14285714285714285,0.8571428571428571
otr(B),0.25,0.75
cmeB,0.25,0.75
adeF,0.2857142857142857,0.7142857142857143
mdtM,0.3333333333333333,0.6666666666666666
mecD,0.3333333333333333,0.6666666666666666
novA,0.3333333333333333,0.6666666666666666
vatC,0.3333333333333333,0.6666666666666666
tet44,0.3333333333333333,0.6666666666666666
mdtF,0.6666666666666666,0.3333333333333333
tetB(P),0.6666666666666666,0.3333333333333333
tet37,0.6666666666666666,0.3333333333333333
tmrB,0.6666666666666666,0.3333333333333333
rpoB2,0.75,0.25
APH(6)-Ic,0.8378378378378378,0.16216216216216217
