,sample.ID,project.ID
0,DRS087523,PRJDB4176
1,DRS087532,PRJDB4176
2,DRS087533,PRJDB4176
3,DRS087534,PRJDB4176
4,DRS087536,PRJDB4176
5,DRS087537,PRJDB4176
6,DRS087538,PRJDB4176
7,DRS087544,PRJDB4176
8,DRS087545,PRJDB4176
9,DRS087547,PRJDB4176
10,DRS087548,PRJDB4176
11,DRS087550,PRJDB4176
12,DRS087551,PRJDB4176
13,DRS087553,PRJDB4176
14,DRS087555,PRJDB4176
15,DRS087556,PRJDB4176
16,DRS087560,PRJDB4176
17,DRS087563,PRJDB4176
18,DRS087565,PRJDB4176
19,DRS087567,PRJDB4176
20,DRS087569,PRJDB4176
21,DRS087570,PRJDB4176
22,DRS087572,PRJDB4176
23,DRS087575,PRJDB4176
24,DRS087576,PRJDB4176
25,DRS087577,PRJDB4176
26,DRS087578,PRJDB4176
27,DRS087579,PRJDB4176
28,DRS087581,PRJDB4176
29,DRS087582,PRJDB4176
30,DRS087583,PRJDB4176
31,DRS087585,PRJDB4176
32,DRS087586,PRJDB4176
33,DRS087587,PRJDB4176
34,DRS087588,PRJDB4176
35,DRS087591,PRJDB4176
36,DRS087592,PRJDB4176
37,DRS087594,PRJDB4176
38,DRS087595,PRJDB4176
54,DRS090823,PRJDB4176
55,DRS090824,PRJDB4176
56,DRS090825,PRJDB4176
57,DRS090826,PRJDB4176
58,DRS090832,PRJDB4176
59,DRS090836,PRJDB4176
60,DRS090840,PRJDB4176
61,DRS090844,PRJDB4176
62,DRS090846,PRJDB4176
63,DRS090854,PRJDB4176
64,DRS090861,PRJDB4176
65,DRS090862,PRJDB4176
66,DRS090864,PRJDB4176
67,DRS090869,PRJDB4176
68,DRS090870,PRJDB4176
69,DRS090871,PRJDB4176
70,DRS090872,PRJDB4176
71,DRS090876,PRJDB4176
72,DRS090878,PRJDB4176
73,DRS090881,PRJDB4176
74,DRS090882,PRJDB4176
75,DRS090885,PRJDB4176
76,DRS090890,PRJDB4176
77,DRS090892,PRJDB4176
78,DRS090895,PRJDB4176
79,DRS090897,PRJDB4176
80,DRS090900,PRJDB4176
81,DRS090901,PRJDB4176
82,DRS090906,PRJDB4176
83,DRS090909,PRJDB4176
84,DRS090911,PRJDB4176
85,DRS090912,PRJDB4176
86,DRS090915,PRJDB4176
87,DRS090916,PRJDB4176
88,DRS090920,PRJDB4176
89,DRS090924,PRJDB4176
90,DRS090928,PRJDB4176
91,DRS090932,PRJDB4176
92,DRS090933,PRJDB4176
93,DRS090937,PRJDB4176
94,DRS090939,PRJDB4176
95,DRS090941,PRJDB4176
96,DRS090942,PRJDB4176
97,DRS090944,PRJDB4176
98,DRS090948,PRJDB4176
99,DRS090949,PRJDB4176
100,DRS090951,PRJDB4176
101,DRS090954,PRJDB4176
102,DRS090955,PRJDB4176
103,DRS090961,PRJDB4176
104,DRS090962,PRJDB4176
105,DRS090963,PRJDB4176
106,DRS090964,PRJDB4176
107,DRS090969,PRJDB4176
108,DRS090971,PRJDB4176
109,DRS090975,PRJDB4176
110,DRS090985,PRJDB4176
111,DRS090989,PRJDB4176
112,DRS090996,PRJDB4176
113,DRS090998,PRJDB4176
114,DRS091001,PRJDB4176
115,DRS091014,PRJDB4176
116,DRS091016,PRJDB4176
117,DRS091018,PRJDB4176
118,DRS091020,PRJDB4176
119,DRS091021,PRJDB4176
120,DRS091022,PRJDB4176
121,DRS091024,PRJDB4176
122,DRS091027,PRJDB4176
123,DRS091029,PRJDB4176
124,DRS091030,PRJDB4176
125,DRS091032,PRJDB4176
126,DRS091033,PRJDB4176
127,DRS091034,PRJDB4176
128,DRS091035,PRJDB4176
129,DRS091037,PRJDB4176
130,DRS091038,PRJDB4176
131,DRS091040,PRJDB4176
132,DRS091041,PRJDB4176
133,DRS091042,PRJDB4176
134,DRS091047,PRJDB4176
135,DRS091049,PRJDB4176
136,DRS091050,PRJDB4176
137,DRS091051,PRJDB4176
138,DRS091052,PRJDB4176
139,DRS091053,PRJDB4176
140,DRS091056,PRJDB4176
141,DRS091058,PRJDB4176
142,DRS091063,PRJDB4176
143,DRS091064,PRJDB4176
39,DRS091367,PRJDB4176
40,DRS091372,PRJDB4176
41,DRS091373,PRJDB4176
42,DRS091374,PRJDB4176
43,DRS091375,PRJDB4176
44,DRS091376,PRJDB4176
45,DRS091377,PRJDB4176
46,DRS091378,PRJDB4176
47,DRS091379,PRJDB4176
48,DRS091380,PRJDB4176
49,DRS091381,PRJDB4176
50,DRS091382,PRJDB4176
51,DRS091383,PRJDB4176
52,DRS091384,PRJDB4176
53,DRS091385,PRJDB4176
144,DRS096198,PRJDB4176
145,DRS096199,PRJDB4176
373,ERS006492,PRJEB2054
371,ERS006510,PRJEB2054
367,ERS006524,PRJEB2054
363,ERS006526,PRJEB2054
364,ERS006539,PRJEB2054
369,ERS006545,PRJEB2054
361,ERS006559,PRJEB2054
360,ERS006566,PRJEB2054
362,ERS006574,PRJEB2054
370,ERS006575,PRJEB2054
368,ERS006587,PRJEB2054
372,ERS006594,PRJEB2054
365,ERS006599,PRJEB2054
366,ERS006602,PRJEB2054
146,ERS1066634,PRJEB12449
147,ERS1066636,PRJEB12449
148,ERS1066637,PRJEB12449
149,ERS1066638,PRJEB12449
150,ERS1066641,PRJEB12449
151,ERS1066643,PRJEB12449
152,ERS1066647,PRJEB12449
153,ERS1066648,PRJEB12449
154,ERS1066656,PRJEB12449
155,ERS1066657,PRJEB12449
156,ERS1066658,PRJEB12449
157,ERS1066659,PRJEB12449
158,ERS1066660,PRJEB12449
159,ERS1066662,PRJEB12449
160,ERS1066664,PRJEB12449
161,ERS1066666,PRJEB12449
