"","V1","V2"
"DRS087523",4.16177205356303,-2.34612529259678
"DRS087532",-5.17425861327023,0.707945269031316
"DRS087533",5.21153461645561,-2.7721678845927
"DRS087534",3.35757228067406,-1.12395335076645
"DRS087536",6.40819450662532,-4.48731372293927
"DRS087537",2.82009075017661,-0.619981284098135
"DRS087538",6.56956246219288,-4.44112703784772
"DRS087544",0.459177198942668,4.71313783566154
"DRS087545",6.4877410282995,-3.95494728519161
"DRS087547",6.4079456298211,-4.45558794939079
"DRS087548",-0.0914311995368048,6.26394137477501
"DRS087550",0.457109693014127,4.71648787109131
"DRS087551",2.66302020973636,-0.47662562224475
"DRS087553",6.54962803038273,-4.63484886026833
"DRS087555",5.87316839345096,-3.23360101332925
"DRS087556",6.3937347520308,-4.12032269393106
"DRS087560",0.441683283039057,6.1026588672669
"DRS087563",6.49802744259565,-3.95075096902835
"DRS087565",6.50895441677605,-4.09842220611752
"DRS087567",4.33439052269501,-1.67607064257295
"DRS087569",5.59007617041701,-2.5495708628593
"DRS087570",6.47281605002255,-4.02463435418348
"DRS087572",6.54640900955791,-4.18197128622961
"DRS087575",6.49036431728719,-4.4933880532478
"DRS087576",6.58542969532848,-4.4072675772886
"DRS087577",6.18948909499028,-3.97810129747641
"DRS087578",6.62625475264321,-4.23245675388351
"DRS087579",6.52337717837208,-4.54688952399683
"DRS087581",6.5597460499934,-4.40854875584521
"DRS087582",6.52243944429001,-4.67970760072529
"DRS087583",6.43910218092082,-4.3342542118899
"DRS087585",6.22094092866578,-4.08085324876344
"DRS087586",6.70523821043013,-4.23480525287936
"DRS087587",-1.67010401166896,2.44708370707656
"DRS087588",0.286942653369558,4.80846505990453
"DRS087591",6.41892444037613,-4.38234720266709
"DRS087592",3.96878922351877,-1.60365354497113
"DRS087594",6.49601073225521,-4.36047856015051
"DRS087595",6.52521829854707,-4.42655259740382
"DRS090823",6.55953648157444,-4.15975743887313
"DRS090824",-1.70977028325635,2.58536652779042
"DRS090825",6.68880127302757,-4.24620755490844
"DRS090826",4.66056583254731,-1.88893308945841
"DRS090832",5.11391957348921,-2.58370515056948
"DRS090836",6.56065127058302,-4.12522446163188
"DRS090840",3.52273340876843,-1.07305611465699
"DRS090844",6.53757730280259,-4.48003496650084
