,Proportion_Western,Mean_Western,Std_Western,Proportion_Nonwestern,Mean_Nonwestern,Std_Nonwestern,FC(Western_vs_Nonwestern),M.W.W. qvalue,Significant
Acetobacter sp. 46_36 & CAG:267,0.0895129442738043,2.5146482812923843e-07,3.550779041176241e-06,0.006633499170812604,1.9559947056002475e-09,4.5873989477992886e-08,128.56109855986034,2.0954570038562146e-12,True
Acetobacter sp. CAG:977,0.004826678367705134,3.854140645784887e-09,1.265081664523774e-07,0.029850746268656716,3.8572795143360116e-08,9.306908558296302e-07,0.09991862480954625,1.4321316209029573e-07,True
Acholeplasma sp. CAG:878,0.011408512505484861,3.115371807615031e-08,4.62576251437199e-07,0.0945273631840796,1.0282326324905705e-07,5.778445112475456e-07,0.3029831683195097,1.4161510731117635e-26,True
Acidaminococcus fermentans,0.02150065818341378,1.2044267770143675e-08,1.6247378123962732e-07,0.04643449419568822,9.615379810296704e-08,1.4135936667625103e-06,0.12526044740579023,0.0018742612391637382,True
Acidaminococcus intestini,0.12286090390522159,1.8124503311117815e-07,9.732322097121511e-07,0.03814262023217247,1.523166107696335e-08,1.4550556855746044e-07,11.89922965035616,9.862571430475223e-10,True
Acidaminococcus massiliensis,0.046072838964458095,8.99074388303912e-09,9.13101850305204e-08,0.11442786069651742,3.726771291552432e-08,3.603210913569958e-07,0.24124753519000935,1.4912247404932703e-09,True
Acidaminococcus sp. CAG:542,0.01184730144800351,8.952654387400873e-09,1.4155105419169653e-07,0.06135986733001658,3.783306387771149e-08,3.017990110876061e-07,0.2366357220324186,9.324893189504358e-13,True
Acidaminococcus sp. CAG:917,0.010092145677928916,6.109917498306176e-09,1.203955648586715e-07,0.001658374792703151,0.0,0.0,inf,0.021171509844871324,True
Acidiphilium sp. CAG:727,0.008775778850372971,8.832891536754257e-09,2.6281966814390304e-07,0.32172470978441126,2.0354224857706233e-07,6.740075320879405e-07,0.043395863013717624,4.066031335531684e-148,True
Acinetobacter sp. N54.MGS-139 / Proteobacteria bacterium CAG:139,0.24572180781044317,3.0433933151042533e-07,1.1550762108975213e-06,0.028192371475953566,2.458261172240173e-08,4.050222880652576e-07,12.380268416845468,1.4581995076044004e-32,True
Actinomyces oris,0.17244405440982888,6.739238217932222e-09,7.539247438152758e-08,0.23880597014925373,6.148233202157244e-09,1.8597896368824994e-08,1.0961259920276951,0.0001479463353812338,True
Adlercreutzia equolifaciens,0.6564282580078982,1.7100662038395822e-07,5.376756251073436e-07,0.13432835820895522,2.9905015195925395e-08,1.6858360244352787e-07,5.7183258147034195,3.29924981645226e-97,True
Aeromonas caviae,0.00307152259763054,1.3903461497564397e-10,3.0148847357929e-09,0.014925373134328358,1.6202975475457326e-08,2.9347510571097525e-07,0.00858080759217589,0.00129404861619039,True
Aeromonas veronii,0.005704256252742431,2.1211041977907426e-09,8.188861908547946e-08,0.009950248756218905,1.2758370600290212e-09,2.2382876731111042e-08,1.6625196619876321,0.4212519225818647,False
Agathobaculum desmolans,0.0026327336551118913,1.1989166128706433e-10,3.952798824048356e-09,0.001658374792703151,0.0,0.0,inf,0.2839506458959554,False
Aggregatibacter segnis,0.02106186924089513,1.4229252575820418e-09,3.1337608313221706e-08,0.06467661691542288,3.2227714209057633e-09,1.8611592804084883e-08,0.44152224025311954,7.035529922062366e-08,True
Akkermansia muciniphila,0.4409828872312418,1.6454582923766784e-06,6.6293214320308574e-06,0.3101160862354892,4.6419753816214964e-07,3.968258980343952e-06,3.5447372230610594,2.5147570086367864e-13,True
Akkermansia sp. CAG:344,0.15138218516893373,3.892603238659038e-07,3.999900055256182e-06,0.05804311774461028,3.2484523880167096e-08,3.26862559282862e-07,11.982946873466735,7.17779086510716e-10,True
Akkermansia sp. KLE1605,0.05221588415971917,1.2595353155198237e-07,1.7252188733699226e-06,0.001658374792703151,0.0,0.0,inf,2.2697493368845946e-08,True
Alistipes finegoldii,0.6406318560772268,9.366579065193692e-07,3.527006021661716e-06,0.36650082918739635,3.139462138659272e-07,1.9127599062000706e-06,2.9834980170182117,1.2213051669908592e-39,True
Alistipes ihumii,0.4602896007020623,2.1603055494330288e-07,6.909963221594913e-07,0.16583747927031509,6.866282651136184e-08,5.181104302302789e-07,3.1462519957222512,2.4843014201091686e-41,True
Alistipes indistinctus,0.5296182536200088,1.5621517610455976e-07,5.74426724879636e-07,0.21061359867330018,1.0026590464098878e-07,6.234837113402908e-07,1.5580089429592487,2.232264462709613e-38,True
Alistipes inops == Tidjanibacter massiliensis,0.24923211935059236,3.882018274352008e-07,2.09990245315011e-06,0.026533996683250415,2.8286818664986282e-08,3.422607763190292e-07,13.72377120357197,3.335989448731056e-33,True
Alistipes obesi,0.6222027204914437,5.886438541535872e-07,1.3980972215431935e-06,0.38308457711442784,2.477481364546405e-07,8.939659068142926e-07,2.375976919856107,2.4649507743646245e-35,True
Alistipes onderdonkii,0.7612988152698552,2.2290928490477796e-06,6.113981311634489e-06,0.29519071310116085,5.701999910935218e-07,4.479120794023494e-06,3.9093175795616126,5.5311993340080575e-101,True
Alistipes putredinis,0.8275559455901711,5.241947002510105e-06,8.073497839248116e-06,0.5140961857379768,1.3880075710080882e-06,5.307574127272263e-06,3.7765982779927927,1.1016039834558509e-86,True
Alistipes senegalensis,0.3409390083369899,8.049238111398505e-08,2.8872257482695856e-07,0.5124378109452736,1.319480624131347e-07,5.383221475687868e-07,0.6100307927369192,2.2038267045248038e-10,True
Alistipes shahii,0.7823606845107504,1.4039604059447385e-06,2.836742270287686e-06,0.6567164179104478,5.57657711730412e-07,1.874713570123761e-06,2.5176024224398317,1.9697584876316388e-38,True
Alistipes sp. An31A,0.02720491443615621,1.2133764867105102e-07,1.5917149643043148e-06,0.001658374792703151,0.0,0.0,inf,8.217145312699962e-05,True
Alistipes sp. An54 & An116,0.009653356735410267,2.1782621975186626e-09,3.535539623783106e-08,0.001658374792703151,0.0,0.0,inf,0.024310067220207898,True
Alistipes sp. CAG:268,0.08249232119350593,4.056668170641245e-07,3.591018847452985e-06,0.003316749585406302,9.110349884186535e-11,2.237142830317623e-09,4452.812704463398,2.5359642091476244e-12,True
Alistipes sp. CAG:435,0.07985958753839403,5.680093853119541e-07,4.4588110456113915e-06,0.714759535655058,4.436785022580178e-06,9.86252877979636e-06,0.1280227422381697,1.003398706529543e-251,True
Alistipes sp. CAG:514,0.040368582711715666,2.138113711510922e-07,2.6472552911510465e-06,0.18076285240464346,6.24500038380305e-07,3.6028287224368783e-06,0.3423720704735752,1.517522259956765e-32,True
Alistipes sp. CAG:831,0.0017551557700745941,2.5509834354559238e-08,9.136065823446904e-07,0.001658374792703151,0.0,0.0,inf,0.40827645996573686,False
Alistipes sp. CHKCI003,0.00307152259763054,8.404087085975718e-09,2.6518517206189436e-07,0.001658374792703151,0.0,0.0,inf,0.2408416187927508,False
Alistipes sp. Marseille-P2431,0.06450197455024133,6.922389174021293e-09,7.138936094816926e-08,0.006633499170812604,3.488980965499166e-10,6.161568894143194e-09,19.840719231412926,1.1500464647533363e-08,True
Alistipes sp. Zagget8,0.05835892935498026,5.316302935244323e-09,5.280288786630117e-08,0.024875621890547265,3.2714675383631095e-09,5.0811161605133565e-08,1.625051409773228,0.0008062096954119224,True
Alistipes timonensis,0.08293111013602457,1.3919506149415182e-08,9.658251229433735e-08,0.01658374792703151,2.3629969927727258e-09,2.6763524750039153e-08,5.890615261884918,1.1217598657349995e-08,True
