,values,ind
1,DRS087519,ET-Firmicutes
2,DRS087521,ET-Firmicutes
3,DRS087522,ET-Firmicutes
4,DRS087526,ET-Firmicutes
5,DRS087528,ET-Firmicutes
6,DRS087529,ET-Firmicutes
7,DRS087533,ET-Firmicutes
8,DRS087534,ET-Firmicutes
9,DRS087537,ET-Firmicutes
10,DRS087539,ET-Firmicutes
11,DRS087540,ET-Firmicutes
12,DRS087543,ET-Firmicutes
13,DRS087544,ET-Firmicutes
14,DRS087546,ET-Firmicutes
15,DRS087548,ET-Firmicutes
16,DRS087550,ET-Firmicutes
17,DRS087551,ET-Firmicutes
18,DRS087552,ET-Firmicutes
19,DRS087554,ET-Firmicutes
20,DRS087558,ET-Firmicutes
21,DRS087560,ET-Firmicutes
22,DRS087562,ET-Firmicutes
23,DRS087567,ET-Firmicutes
24,DRS087568,ET-Firmicutes
25,DRS087569,ET-Firmicutes
26,DRS087574,ET-Firmicutes
27,DRS087588,ET-Firmicutes
28,DRS087589,ET-Firmicutes
29,DRS087590,ET-Firmicutes
30,DRS087592,ET-Firmicutes
31,DRS087593,ET-Firmicutes
32,DRS087597,ET-Firmicutes
33,DRS091125,ET-Firmicutes
34,DRS091131,ET-Firmicutes
35,DRS091132,ET-Firmicutes
36,DRS091134,ET-Firmicutes
37,DRS091138,ET-Firmicutes
38,DRS091145,ET-Firmicutes
39,DRS091146,ET-Firmicutes
40,DRS091151,ET-Firmicutes
41,DRS091154,ET-Firmicutes
42,DRS091159,ET-Firmicutes
43,DRS091160,ET-Firmicutes
44,DRS091162,ET-Firmicutes
45,DRS091164,ET-Firmicutes
46,DRS091167,ET-Firmicutes
47,DRS091171,ET-Firmicutes
48,DRS091176,ET-Firmicutes
49,DRS091177,ET-Firmicutes
50,DRS091185,ET-Firmicutes
51,DRS091189,ET-Firmicutes
52,DRS091190,ET-Firmicutes
53,DRS091200,ET-Firmicutes
54,DRS091201,ET-Firmicutes
55,DRS091202,ET-Firmicutes
56,DRS091205,ET-Firmicutes
57,DRS091207,ET-Firmicutes
58,DRS091215,ET-Firmicutes
59,DRS091216,ET-Firmicutes
60,DRS091217,ET-Firmicutes
61,DRS091221,ET-Firmicutes
62,DRS091227,ET-Firmicutes
63,DRS091229,ET-Firmicutes
64,DRS091230,ET-Firmicutes
65,DRS091231,ET-Firmicutes
66,DRS091233,ET-Firmicutes
67,DRS091234,ET-Firmicutes
68,DRS091236,ET-Firmicutes
69,DRS091239,ET-Firmicutes
70,DRS091244,ET-Firmicutes
71,DRS091245,ET-Firmicutes
72,DRS091247,ET-Firmicutes
73,DRS091252,ET-Firmicutes
74,DRS091253,ET-Firmicutes
75,DRS091255,ET-Firmicutes
76,DRS091257,ET-Firmicutes
