"","size","NA_pc","BHit_pc","BHit","BH_ali","BH_id","NA_pc_","Taxo_pc","Taxo","Taxo_ali","Taxo_id","Taxo_level","species","genus","family","order","class","phylum","superkingdom","size_annot","gp"
"msp_0001",14947,2.9,94.4,"Blastocystis sp. subtype 3 ZGR",97.3,99,2.9,94.4,"Blastocystis sp. subtype 3",97.3,99,"species","Blastocystis sp. subtype 3","Blastocystis","unclassified Eukaryota","unclassified Eukaryota","unclassified Eukaryota","unclassified Eukaryota","Eukaryota",14881,"msp_0001"
"msp_0002",11854,0.3,99.6,"Blastocystis sp. ATCC 50177/Nand II",99.2,98.6,0.3,99.6,"Blastocystis sp. subtype 1",99.2,98.6,"species","Blastocystis sp. subtype 1","Blastocystis","unclassified Eukaryota","unclassified Eukaryota","unclassified Eukaryota","unclassified Eukaryota","Eukaryota",11710,"msp_0002"
"msp_0003",14853,5.9,50.8,"uncultured Bacteroides sp. 2789STDY5834900",93.7,96.3,6,79.9,"Bacteroides cellulosilyticus",96.2,97.6,"species","Bacteroides cellulosilyticus","Bacteroides","Bacteroidaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",9184,"msp_0003"
"msp_0004",11112,1.9,92.9,"Blastocystis sp. subtype 2 Flemming",97.2,97.6,1.9,92.9,"Blastocystis sp. subtype 2",97.2,97.6,"species","Blastocystis sp. subtype 2","Blastocystis","unclassified Eukaryota","unclassified Eukaryota","unclassified Eukaryota","unclassified Eukaryota","Eukaryota",11013,"msp_0004"
"msp_0005",12508,0,9.9,"Escherichia coli LS5218",98.4,99.8,0,98,"Escherichia coli",98.9,99.7,"species","Escherichia coli","Escherichia","Enterobacteriaceae","Enterobacterales","Gammaproteobacteria","Proteobacteria","Bacteria",11729,"msp_0005"
"msp_0006",11640,0.1,95.1,"Blastocystis sp. subtype 4 BT1",97.8,99.6,0.1,99.9,"Blastocystis sp. subtype 4",99.4,99.8,"species","Blastocystis sp. subtype 4","Blastocystis","unclassified Eukaryota","unclassified Eukaryota","unclassified Eukaryota","unclassified Eukaryota","Eukaryota",11626,"msp_0006"
"msp_0007",9517,1.8,55.9,"Bacteroides ovatus DSM 1896",96.6,97.1,1.8,93.8,"Bacteroides ovatus",98.7,98.9,"species","Bacteroides ovatus","Bacteroides","Bacteroidaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",3577,"msp_0007"
"msp_0008",11006,5.3,58.1,"Bacteroides intestinalis CAG:315",92.9,95.8,5.3,80.6,"Bacteroides intestinalis",96.5,97.5,"species","Bacteroides intestinalis","Bacteroides","Bacteroidaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",6505,"msp_0008"
"msp_0009",8454,1.5,75.7,"[Clostridium] clostridioforme 90A7",98.1,98.3,1.5,96.1,"Clostridium bolteae",99,99.3,"species","Clostridium bolteae","Lachnoclostridium","Lachnospiraceae","Clostridiales","Clostridia","Firmicutes","Bacteria",6597,"msp_0009"
"msp_0010",10624,1.1,33.8,"Bacteroides fragilis ATCC 25285",98.1,99.4,1.1,97.5,"Bacteroides fragilis 1",99,99.7,"species","Bacteroides fragilis 1","Bacteroides","Bacteroidaceae","Bacteroidales","Bacteroidia","Bacteroidetes","Bacteria",5515,"msp_0010"
